	id	NormalizedName-sp	aclaration	variants	comments	book	cert	Gender	NormalizedName-ge	NormalizedName-po	type	nature	definition	importance	order-edition	latitude	longitude	geo_cert	geo_controlled	sum_freq	median_freq	mean_freq	std_freq	GEN	EXO	LEV	JOS	JDG	RUT	1SA	2SA	1KI	EZR	NEH	JOB	PSA	ECC	ISA	LAM	JER	EZE	DAN	HOS	JOE	AMO	OBA	JON	MIC	NAH	HAB	ZEP	HAG	ZEC	MAL	MAT	MAR	LUK	JOH	ACT	ROM	1CO	2CO	GAL	EPH	PHI	1TH	2TH	1TI	2TI	TIT	PHM	HEB	JAM	1PE	2PE	1JO	2JO	3JO	JUD	REV
1974.0	#pla0	lugares	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1975.0	#pla1	Belén	0	0	0	0	0	0	Bethlehem	Belem	place	human	0	0.0	MAT	31.7053821	35.2024425	high	manually	60.0	0.0	1.0	2.0	4.0	0.0	0.0	1.0	10.0	14.0	11.0	6.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1976.0	#pla2	Judea	0	Judá	Es lo mismo que Judá?	0	0	0	Judäa	Judeia	place	human	0	0.0	MAT	31.903215399999997	35.2035394	high	manually	439.0	1.0	7.0	16.0	0.0	0.0	0.0	27.0	25.0	0.0	11.0	30.0	43.0	17.0	27.0	0.0	11.0	0.0	37.0	4.0	104.0	8.0	2.0	15.0	6.0	4.0	1.0	0.0	4.0	0.0	0.0	2.0	4.0	9.0	0.0	10.0	7.0	4.0	7.0	14.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1977.0	#pla3	Jerusalén	0	0	Ciudad de David? Llamada Aholiba  en EZE 23	0	0	0	Jerusalem	Jerusalem	place	human	0	0.0	MAT	31.768319	35.21371	high	manually	859.0	2.0	15.0	31.0	0.0	0.0	0.0	10.0	6.0	0.0	3.0	41.0	43.0	60.0	60.0	0.0	30.0	5.0	86.0	18.0	179.0	81.0	17.0	1.0	6.0	3.0	2.0	0.0	15.0	0.0	0.0	4.0	0.0	51.0	2.0	21.0	14.0	7.0	13.0	68.0	4.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
1978.0	#pla4	Israel	0	0	0	0	0	0	Israel	Israel	place	human	0	0.0	MAT	31.046051000000002	34.851612	high	manually	1699.0	3.0	29.0	61.0	2.0	1.0	77.0	193.0	189.0	5.0	149.0	137.0	190.0	43.0	39.0	0.0	61.0	1.0	41.0	5.0	76.0	291.0	4.0	59.0	7.0	17.0	1.0	2.0	16.0	1.0	0.0	5.0	1.0	9.0	6.0	12.0	3.0	6.0	9.0	15.0	10.0	1.0	2.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
1979.0	#pla5	Egipto	0	Cam	0	0	0	0	Ägypten	Egito	place	human	0	0.0	MAT	26.820553000000004	30.802497999999996	high	manually	786.0	0.0	13.0	35.0	139.0	201.0	22.0	19.0	10.0	5.0	14.0	2.0	28.0	0.0	3.0	0.0	31.0	0.0	57.0	0.0	99.0	79.0	6.0	18.0	1.0	11.0	0.0	0.0	4.0	1.0	0.0	0.0	1.0	5.0	0.0	4.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
1980.0	#pla6	Ramá	0	0	0	0	0	0	Rama	Ramá	place	human	0	0.0	MAT	32.937112	35.366984	high	manually	34.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	3.0	0.0	17.0	0.0	3.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1981.0	#pla7	Galilea	0	0	0	0	0	0	Galiläa	Geliléia	place	human	0	0.0	MAT	32.8244321	35.5879975	high	manually	59.0	0.0	1.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	12.0	3.0	16.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1982.0	#pla8	Nazaret	0	0	0	0	0	0	Nazareth	Nazaré	place	human	0	0.0	MAT	32.699635	35.303546000000004	high	manually	23.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	2.0	7.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1983.0	#pla9	Jordán	0	0	0	0	0	0	Jordan	Jordão	place	human	0	0.0	MAT	30.585164000000002	36.238414	high	manually	163.0	0.0	2.0	10.0	5.0	0.0	0.0	77.0	13.0	0.0	2.0	17.0	4.0	16.0	2.0	1.0	5.0	0.0	2.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	6.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1984.0	#pla10	0	0	0	 Antes este id tenía el valor de “ciudad santa”a hora integrado en pla3	0	0	0	0	0	place	human	0	0.0	MAT	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
