;text;text_name
0;principio;
1;Verbo;
2;Verbo;
3;Dios;
4;Verbo;
5;Dios;
6;principio;
7;Dios;
8;hombre enviado por ;
9;Dios;
10;Juan;
11;testigo;
12;testigo de la luz;
13;luz verdadera que alumbra a todo hombre;
14;hijos de ;
15;Dios;
16;Dios;
17;Verbo;
18;unigénito del ;
19;Padre;
20;Juan;
21;Ley;
22;Moisés;
23;Jesucristo;
24;Dios;
25;Hijo;
26;Padre;
27;Juan;
28;judíos;
29;Jerusalén;
30;sacerdotes;
31;Cristo;
32;Elías;
33;voz de uno que clama en el desierto;
34;Señor;
35;profeta;
36;Isaías;
37;fariseos;
38;Cristo;
39;Elías;
40;Profeta;
41;Juan;
42;Betábara;
43;Jordán;
44;Juan;
45;Juan;
46;Jesús;
47;Dios;
48;Israel;
49;Juan;
50;Espíritu;
51;paloma;
52;Espíritu;
53;Espíritu Santo;
54;Hijo de ;
55;Dios;
56;Juan;
57;discípulos;
58;Jesús;
59;Cordero de ;
60;Dios;
61;discípulos;
62;Jesús;
63;Jesús;
64;Rabí;
65;Maestro;
66;Andrés;
67;hermano de ;
68;Simón Pedro;
69;Juan;
70;Jesús;
71;hermano Simón;
72;Mesías;
73;Cristo;
74;Jesús;
75;Jesús;
76;Simón;
77;hijo de ;
78;Jonás;
79;Cefas;
80;Pedro;
81;Jesús;
82;Galilea;
83;Felipe;
84;Felipe;
85;Betsaida;
86;Andrés;
87;Pedro;
88;Felipe;
89;Natanael;
90;Moisés;
91;Ley;
92;Profetas;
93;Jesús;
94;hijo de ;
95;José;
96;Nazaret;
97;Natanael;
98;Nazaret;
99;Felipe;
100;Jesús;
101;Natanael;
102;verdadero ;
103;Israel;
104;ita;
105;Natanael;
106;Jesús;
107;Felipe;
108;Natanael;
109;Rabí;
110;Hijo de ;
111;Dios;
112;Rey de ;
113;Israel;
114;Jesús;
115;cielo;
116;ángeles;
117;Dios;
118;Hijo del hombre;
119;bodas en ;
120;Caná;
121;Galilea;
122;madre de ;
123;Jesús;
124;Jesús;
125;discípulos;
126;madre de ;
127;Jesús;
128;Jesús;
129;mujer;
130;madre;
131;judíos;
132;Jesús;
133;Jesús;
134;Caná;
135;Galilea;
136;discípulos;
137;Capernaúm;
138;madre;
139;hermanos;
140;discípulos;
141;Pascua de los ;
142;judíos;
143;Jesús;
144;Jerusalén;
145;Templo;
146;Templo;
147;casa de mi ;
148;Padre;
149;discípulos;
150;judíos;
151;Jesús;
152;Templo;
153;judíos;
154;Templo;
155;Templo de su cuerpo;
156;discípulos;
157;Jesús;
158;Jerusalén;
159;Pascua;
160;Jesús;
161;fariseos;
162;Nicodemo;
163;judíos;
164;Jesús;
165;Rabí;
166;Dios;
167;Dios;
168;Jesús;
169;reino de ;
170;Dios;
171;Nicodemo;
172;Jesús;
173;Espíritu;
174;reino de ;
175;Dios;
176;Espíritu;
177;Espíritu;
178;Nicodemo;
179;Jesús;
180;Israel;
181;cielo;
182;cielo;
183;Hijo del hombre;
184;cielo;
185;Moisés;
186;Hijo del hombre;
187;Dios;
188;Hijo unigénito;
189;Dios;
190;Hijo;
191;Hijo de ;
192;Dios;
193;luz;
194;luz;
195;luz;
196;luz;
197;Dios;
198;Jesús;
199;discípulos;
200;Judea;
201;Juan;
202;Enón;
203;Salim;
204;gente;
205;Juan;
206;discípulos de ;
207;Juan;
208;judíos;
209;Juan;
210;Rabí;
211;el que estaba contigo al otro lado del ;
212;Jordán;
213;Juan;
214;cielo;
215;Cristo;
216;esposo;
217;amigo del esposo;
218;esposo;
219;El que viene de arriba;
220;cielo;
221;Dios;
222;Dios;
223;Dios;
224;Dios;
225;Espíritu;
226;Padre;
227;Hijo;
228;Hijo;
229;Hijo;
230;Dios;
231;Señor;
232;fariseos;
233;Jesús;
234;discípulos;
235;Juan;
236;Jesús;
237;discípulos;
238;Judea;
239;Galilea;
240;Samaria;
241;Samaria;
242;Sicar;
243;Jacob;
244;hijo;
245;José;
246;Jacob;
247;Jesús;
248;Samaria;
249;Jesús;
250;discípulos;
251;samaritana;
252;judíos;
253;samaritanos;
254;Jesús;
255;Dios;
256;Señor;
257;padre Jacob;
258;Jesús;
259;Señor;
260;Jesús;
261;Jesús;
262;Señor;
263;profeta;
264;Jerusalén;
265;Jesús;
266;Jerusalén;
267;Padre;
268;judíos;
