	entity	frequency
15	Jehová	32
42	Dios	11
35	Desc	8
16	Sión	7
17	Judá	6
22	Jerusalén	6
29	Stmt	4
9	Israel	3
50	El	3
27	Header	2
7	José	2
45	Porque	2
12	Haré	2
13	Yo	2
14	Las	2
36	Como	2
39	Sitim	1
37	También	1
38	Tiro	1
34	Desapareció	1
0	Nadie	1
40	Edén	1
41	Reina	1
32	Conoceréis	1
43	First	1
44	Entonces	1
46	Todopoderoso	1
47	Asoló	1
48	Despiértense	1
49	Entre	1
33	La	1
26	The	1
31	Edom	1
30	Rasgad	1
2	Proclamad	1
3	Génesis	1
4	Level	1
5	Comeréis	1
6	De	1
8	Egipto	1
10	Lo	1
11	Meted	1
18	Irán	1
19	Sidón	1
20	Delante	1
21	Quotations	1
23	Juntaos	1
24	Su	1
25	Vosotros	1
1	Animales	1
28	Text	1
51	Forjad	1
