	weight	source	target
151	86	#org88	#per4
1589	82	#per14	#per2
1937	72	#org88	#per104
1514	54	#per132	#per4
923	52	#per104	#per4
1176	45	#per104	#per133
1653	42	#per14	#per47
372	33	#per16	#per4
65	32	#per14	#per145
576	29	#per135	#per16
6	29	#per131	#per4
856	29	#per3	#per4
94	28	#per144	#per162
1723	28	#per134	#per2
1276	28	#per135	#per4
1366	27	#per158	#per162
579	27	#org83	#per132
350	27	#per144	#per158
202	27	#per132	#per159
1154	25	#per144	#per47
1285	25	#per162	#per47
1367	25	#per158	#per47
941	23	#per14	#per4
1048	23	#org83	#per159
422	22	#per131	#per3
1546	22	#per104	#per5
1462	21	#per2	#per3
1861	21	#per14	#pla41
689	20	#org83	#per2
1331	19	#per104	#pla5
1415	18	#per136	#per4
669	18	#per138	#per2
292	17	#per145	#per241
387	17	#per4	#per5
195	16	#per139	#per150
1202	16	#per14	#per158
1652	16	#per14	#per162
1760	16	#org88	#per5
194	16	#per14	#per144
1767	15	#per132	#per16
1301	13	#per14	#per3
778	13	#per14	#per241
1620	13	#org0	#per14
1240	12	#org4	#per137
76	12	#org83	#per136
1823	12	#per137	#per2
220	12	#per4	#pla5
1464	12	#org88	#pla5
981	12	#per136	#per3
585	11	#org84	#per2
1677	11	#per14	#per142
655	11	#per152	#per72
773	11	#org65	#per104
827	10	#org4	#per2
327	10	#org88	#per109
1573	10	#per104	#per195
1975	10	#org88	#per189
821	9	#per109	#per4
626	9	#per104	#per72
191	9	#per14	#pla77
1846	9	#per157	#per4
658	9	#per104	#per152
721	9	#per104	#per128
341	9	#per124	#per125
1107	9	#per133	#per195
430	8	#org4	#per14
1009	8	#org88	#per139
897	8	#per104	#per14
944	8	#org88	#per150
486	8	#org83	#per14
1980	8	#org4	#per4
919	8	#per132	#per136
88	8	#per4	#per72
556	8	#per5	#per6
338	8	#per138	#per3
32	8	#per2	#pla84
1660	8	#per138	#per227
461	8	#per152	#per4
681	8	#pla16	#pla17
1461	7	#per133	#pla5
120	7	#per4	#pla84
460	7	#per157	#per173
1718	7	#per138	#per14
1979	7	#per140	#per143
1070	7	#per140	#per2
1313	7	#per104	#per189
908	7	#org88	#per135
1761	7	#per104	#per196
161	7	#per149	#per2
966	7	#per143	#per2
1433	7	#org88	#per16
635	7	#org4	#per143
1866	7	#per135	#per173
1894	7	#per157	#per16
256	7	#org0	#per4
106	7	#per173	#per4
38	6	#per104	#per16
1011	6	#per132	#per3
751	6	#per245	#per5
820	6	#per14	#tim3
1658	6	#per133	#per4
675	6	#per145	#pla77
15	6	#per14	#pla16
1907	6	#per134	#per14
439	6	#per125	#per4
364	6	#per104	#per201
1472	6	#per47	#pla41
146	6	#per2	#pla115
1665	6	#per4	#pla136
1809	6	#org65	#pla5
101	6	#org88	#per133
846	6	#per124	#per4
176	6	#per136	#per159
1243	6	#per132	#per135
741	5	#per205	#per211
1649	5	#per181	#per4
279	5	#per20	#per241
1215	5	#org80	#per137
1291	5	#per104	#per267
631	5	#org0	#per2
1655	5	#per205	#per214
1746	5	#per131	#per197
797	5	#org94	#per104
1810	5	#per180	#per205
1117	5	#per4	#pla137
325	5	#per14	#per143
1499	5	#org88	#per128
1568	5	#org88	#per157
1319	5	#per16	#per173
465	5	#per134	#pla84
1500	5	#per135	#per157
1265	5	#org88	#per173
1062	5	#pla5	#pla84
1063	5	#per131	#per136
915	5	#per132	#pla137
1333	5	#per137	#pla16
405	5	#per180	#per197
896	5	#per195	#per196
704	5	#per134	#per138
8	5	#org85	#pla5
1779	5	#per211	#per214
647	5	#per134	#per143
27	4	#per131	#per182
955	4	#per177	#per87
727	4	#per2	#per395
946	4	#per109	#per124
1617	4	#per330	#per87
1426	4	#per191	#per285
1206	4	#org4	#pla18
299	4	#per120	#per4
268	4	#per360	#per395
1440	4	#org65	#per133
793	4	#per141	#per156
492	4	#per233	#per87
774	4	#per150	#per4
867	4	#per172	#per214
511	4	#org88	#per124
767	4	#per2	#pla5
1413	4	#org4	#pla16
1849	4	#per128	#per4
764	4	#per131	#per180
910	4	#per3	#pla101
1796	4	#org78	#per2
1636	4	#per144	#per207
1843	4	#per2	#pla134
521	4	#per109	#per125
198	4	#per153	#per2
748	4	#per182	#per197
212	4	#org94	#per133
56	4	#per134	#per3
1743	4	#per3	#pla136
604	4	#per191	#per260
1133	4	#per262	#per285
654	4	#per166	#per180
1042	4	#per104	#per178
1710	4	#per260	#per262
403	4	#per191	#per262
1920	4	#per161	#per4
623	4	#per121	#per4
1697	4	#per137	#per14
411	4	#per158	#per207
413	4	#per157	#per181
608	4	#per2	#pla83
46	4	#org79	#per137
1422	4	#per14	#per16
1086	4	#per137	#pla113
549	4	#per144	#per177
1123	4	#per162	#per207
435	4	#per233	#per330
1099	4	#per131	#pla125
1942	4	#per135	#per14
66	4	#per139	#per161
1594	4	#org88	#per161
438	4	#per260	#per285
1238	4	#per177	#per330
54	4	#per227	#per385
374	4	#per4	#pla108
1528	4	#per172	#per211
539	4	#per126	#per4
1018	4	#per207	#per47
717	4	#per2	#pla16
1484	4	#per172	#per205
969	4	#org0	#per5
696	4	#per138	#per385
680	4	#per141	#per2
369	4	#per145	#pla41
1143	4	#per177	#per233
1525	3	#per168	#per176
311	3	#per137	#pla107
1494	3	#org88	#per120
1575	3	#org92	#per133
1446	3	#per334	#per380
589	3	#per202	#per232
278	3	#per131	#per214
733	3	#per14	#per140
728	3	#per334	#per387
504	3	#per2	#pla116
580	3	#per109	#per135
1674	3	#per2	#pla101
1579	3	#org0	#per109
1490	3	#per227	#per3
711	3	#per137	#pla17
1485	3	#per178	#per267
1523	3	#per180	#per211
1428	3	#per122	#per157
664	3	#per180	#per214
377	3	#per137	#pla84
719	3	#per166	#per209
819	3	#per109	#per5
496	3	#per2	#per227
568	3	#per360	#per366
444	3	#per145	#per169
329	3	#per104	#per217
1780	3	#per321	#per380
419	3	#org88	#per121
313	3	#per144	#pla41
520	3	#per14	#per20
1764	3	#per366	#per395
1626	3	#per132	#per157
1618	3	#per168	#per184
1470	3	#per138	#pla101
724	3	#per139	#per4
760	3	#per277	#per380
745	3	#per180	#per182
1539	3	#per329	#per360
1545	3	#per148	#per156
742	3	#per131	#per211
1778	3	#per2	#pla133
672	3	#per141	#per171
616	3	#per180	#per279
540	3	#org0	#per134
469	3	#per169	#per179
1657	3	#per380	#per387
513	3	#per160	#per174
750	3	#per154	#per209
376	3	#per277	#per387
600	3	#per2	#pla112
1641	3	#per217	#per230
472	3	#per154	#per166
497	3	#per277	#per321
1279	3	#per197	#per214
894	3	#org88	#per181
978	3	#per131	#per166
1093	3	#per141	#per148
170	3	#per14	#per267
959	3	#per131	#per172
175	3	#per277	#per334
951	3	#per134	#pla5
1098	3	#per321	#per387
1856	3	#per156	#per2
61	3	#per197	#per211
1852	3	#org0	#per135
192	3	#per14	#pla17
1844	3	#per162	#pla41
924	3	#per150	#per161
912	3	#per2	#pla107
1218	3	#per122	#per4
1081	3	#per197	#per205
1077	3	#per3	#per385
150	3	#per109	#per16
1065	3	#org88	#per125
116	3	#per134	#per137
1039	3	#per329	#per395
1269	3	#per133	#per196
122	3	#per176	#per177
1035	3	#per122	#per181
1030	3	#per120	#per121
1924	3	#per158	#pla41
995	3	#pla41	#tim3
1012	3	#org63	#per150
1886	3	#per121	#per173
90	3	#per136	#per14
1297	3	#per131	#per205
1073	3	#per127	#per4
1306	3	#per104	#per230
43	3	#per148	#per2
1237	3	#per329	#per366
1968	3	#per2	#per251
235	3	#per120	#per173
1411	3	#per4	#pla133
1984	3	#per4	#pla147
1199	3	#per4	#pla110
1180	3	#per321	#per334
246	3	#org63	#per139
1217	2	#per159	#per3
613	2	#pla39	#pla89
1257	2	#per175	#per387
1558	2	#org0	#per178
1170	2	#per125	#per5
607	2	#org88	#per126
518	2	#per131	#per135
1256	2	#per124	#per5
1173	2	#per205	#per279
1163	2	#per121	#per135
1162	2	#per	#per218
1252	2	#per160	#per172
1161	2	#per128	#per189
593	2	#org0	#per16
1082	2	#pla111	#pla116
1158	2	#442	#per277
1246	2	#per72	#pla5
1090	2	#per233	#pere314
1171	2	#org78	#org83
1633	2	#per395	#pla113
510	2	#per205	#pla
1052	2	#per120	#per135
1049	2	#per330	#pere314
1532	2	#424	#per218
1187	2	#per137	#pla9
1536	2	#per14	#pla39
1181	2	#per264	#per333
1050	2	#429	#per387
1543	2	#per182	#per226
505	2	#per156	#pla78
1055	2	#per145	#pla39
586	2	#per160	#per203
1057	2	#org71	#pla125
1261	2	#per172	#per197
1260	2	#per388	#pla85
1067	2	#per253	#per324
1554	2	#per248	#per258
1069	2	#per285	#per395
615	2	#per395	#pla121
1190	2	#per109	#per126
1576	2	#per212	#per264
584	2	#per230	#pla5
1619	2	#pla85	#pla86
1596	2	#per199	#per200
1112	2	#per14	#per431
1229	2	#424	#per387
1590	2	#per197	#pla84
563	2	#per264	#per428
1214	2	#per315	#per420
1139	2	#per242	#per264
559	2	#per232	#per254
1116	2	#per154	#per190
1118	2	#per217	#per72
552	2	#424	#429
1607	2	#per141	#per200
1122	2	#per205	#pla84
1599	2	#per191	#pla124
1138	2	#per195	#per234
1129	2	#per144	#per87
547	2	#per267	#pla5
1130	2	#per218	#per380
1136	2	#per16	#per181
1602	2	#424	#442
1216	2	#per87	#pere314
1232	2	#per260	#per395
537	2	#per191	#per395
1586	2	#389	#per277
1236	2	#per	#per175
583	2	#org64	#pla78
1242	2	#per104	#pla84
1153	2	#429	#per334
582	2	#org0	#per47
1578	2	#per314	#per87
1208	2	#389	#per321
1241	2	#org0	#per241
1149	2	#per218	#per387
1096	2	#389	#per334
1097	2	#org83	#per3
578	2	#pla110	#pla111
1610	2	#per252	#per254
1239	2	#per179	#per198
1145	2	#org88	#per2
1103	2	#389	#per
1270	2	#442	#per293
1144	2	#per366	#pla113
1582	2	#per285	#pla124
1583	2	#pla107	#pla84
646	2	#per	#per380
823	2	#per233	#per314
649	2	#per227	#pla101
936	2	#424	#per
871	2	#per175	#per277
1385	2	#per144	#per330
892	2	#per315	#per324
1457	2	#per226	#per244
1460	2	#pla64	#pla90
900	2	#per150	#pla108
766	2	#per166	#per205
904	2	#per174	#per203
765	2	#per142	#per43
907	2	#442	#per387
763	2	#per104	#per135
762	2	#per113	#per366
911	2	#per124	#per127
1358	2	#424	#per321
916	2	#per134	#pla107
753	2	#per2	#pla18
1355	2	#per4	#pla107
752	2	#per182	#per354
1354	2	#per324	#pla87
922	2	#424	#per334
1350	2	#org88	#per122
749	2	#per166	#per197
1347	2	#per3	#pla83
870	2	#per203	#per229
868	2	#per186	#per6
776	2	#per320	#per428
853	2	#pla134	#pla84
826	2	#org88	#per131
1419	2	#org71	#per219
1410	2	#per134	#pla115
500	2	#per132	#per173
1402	2	#442	#per334
806	2	#per293	#per321
804	2	#per172	#pla84
1436	2	#per175	#per293
799	2	#per131	#pla
798	2	#org65	#org94
858	2	#per153	#per3
1455	2	#per	#per387
859	2	#per14	#pla133
1443	2	#per131	#per14
860	2	#pla41	#pla77
861	2	#per166	#per172
1444	2	#per218	#per293
790	2	#per14	#pla79
1392	2	#per214	#pla84
786	2	#per152	#per230
1454	2	#per320	#per333
864	2	#389	#per380
933	2	#per262	#pla124
744	2	#pla148	#pla9
1529	2	#per180	#pla
937	2	#per226	#per248
1308	2	#pla20	#pla99
684	2	#per180	#per259
1303	2	#per113	#per329
1300	2	#per212	#per351
679	2	#per293	#per334
1004	2	#per329	#pla113
674	2	#per2	#pla17
1292	2	#pla64	#pla89
1016	2	#per259	#per279
671	2	#per	#per293
1290	2	#pla39	#pla77
1023	2	#per153	#pla115
1283	2	#per388	#pla86
1517	2	#per166	#pla
1028	2	#per137	#per156
1518	2	#per2	#per4
825	2	#per156	#pla107
1522	2	#per226	#per258
1524	2	#per260	#pla124
1037	2	#per194	#per206
1275	2	#per182	#per258
1040	2	#389	#per175
1044	2	#per4	#pla115
701	2	#per218	#per277
991	2	#per242	#per333
703	2	#per139	#pla108
725	2	#per126	#per135
938	2	#per175	#per218
940	2	#per190	#per206
736	2	#per134	#pla134
942	2	#442	#per
1476	2	#per154	#per47
734	2	#per166	#per182
1338	2	#per218	#per321
1479	2	#org87	#per3
1334	2	#per232	#per252
726	2	#per320	#per351
961	2	#per146	#per236
988	2	#per174	#per229
722	2	#429	#442
1328	2	#per136	#pla136
963	2	#per264	#per351
1327	2	#org84	#per149
965	2	#per131	#per16
1326	2	#442	#per218
970	2	#per211	#pla84
972	2	#org71	#per222
973	2	#per109	#per128
705	2	#per242	#per320
1407	2	#per141	#per159
993	2	#org64	#per156
1186	2	#per131	#per157
1730	2	#429	#per293
190	2	#pla39	#pla90
189	2	#org71	#per208
1904	2	#per202	#per254
70	2	#per219	#per222
1940	2	#org53	#per3
1770	2	#per	#per277
1855	2	#per172	#per180
1726	2	#per324	#per420
1725	2	#per166	#per279
181	2	#per324	#pla88
1906	2	#per14	#pla116
1696	2	#per14	#pla110
1882	2	#per132	#per14
408	2	#389	#424
273	2	#org63	#per131
264	2	#per113	#per395
123	2	#org0	#per145
1763	2	#pla136	#pla84
263	2	#org88	#pla108
437	2	#per124	#per126
383	2	#429	#per175
1874	2	#per254	#per259
433	2	#org49	#per104
1845	2	#per351	#per428
1731	2	#389	#429
1899	2	#per230	#per72
53	2	#org53	#per2
427	2	#per3	#pla84
1685	2	#per333	#per428
1686	2	#389	#per293
55	2	#429	#per380
156	2	#per202	#per259
1900	2	#per186	#per193
360	2	#per217	#pla5
373	2	#per113	#per360
1789	2	#per	#per321
82	2	#per333	#per351
178	2	#org0	#per6
1867	2	#per104	#per173
284	2	#pla89	#pla90
164	2	#per109	#per127
1782	2	#pla18	#pla41
287	2	#per212	#per320
1712	2	#org84	#pla115
1868	2	#per184	#per199
391	2	#per126	#per127
1781	2	#389	#per218
293	2	#per242	#per428
1714	2	#org88	#pla84
1776	2	#per182	#per248
1715	2	#per152	#per217
382	2	#per152	#pla5
1870	2	#per208	#per222
167	2	#pla115	#pla84
98	2	#per104	#per157
1720	2	#424	#per380
1721	2	#429	#per277
1700	2	#per159	#per171
1774	2	#per147	#per5
1788	2	#per208	#per219
1787	2	#per245	#per6
1786	2	#per109	#per14
375	2	#per177	#pere314
1909	2	#per125	#per126
171	2	#pla87	#pla88
379	2	#per125	#per127
1925	2	#per180	#pla84
283	2	#per360	#pla113
91	2	#per14	#per206
1706	2	#per14	#per153
1910	2	#per175	#per321
1678	2	#per212	#per242
295	2	#389	#442
1954	2	#per253	#per420
1826	2	#429	#per321
1825	2	#per137	#pla5
226	2	#per140	#per3
1977	2	#per202	#per252
481	2	#per134	#per251
1650	2	#442	#per321
237	2	#442	#per380
140	2	#pla110	#pla116
132	2	#per183	#per194
326	2	#per175	#per334
1972	2	#per360	#pla121
474	2	#389	#per387
24	2	#per218	#per334
242	2	#per131	#per216
464	2	#org85	#per104
482	2	#org85	#per267
16	2	#per253	#per315
345	2	#429	#per218
234	2	#per293	#per387
1819	2	#per244	#per248
1752	2	#per183	#per198
342	2	#per175	#per380
1744	2	#per205	#per259
1644	2	#org94	#per251
1822	2	#429	#per
9	2	#per242	#per351
1884	2	#per182	#per244
7	2	#per277	#per293
337	2	#per104	#pla147
5	2	#per126	#per14
334	2	#per	#per334
2	2	#per262	#per395
1738	2	#per212	#per428
467	2	#per252	#per259
498	2	#per131	#per173
1663	2	#442	#per175
1838	2	#424	#per293
316	2	#pla39	#pla64
39	2	#per127	#per135
210	2	#per314	#per330
1893	2	#per177	#per314
1757	2	#per244	#per258
251	2	#per293	#per380
1956	2	#per122	#per16
1672	2	#per264	#per320
353	2	#per286	#per7
448	2	#per16	#per204
352	2	#per160	#per229
314	2	#per131	#pla84
252	2	#per14	#per201
1806	2	#per232	#per259
1732	2	#424	#per175
207	2	#per212	#per333
1967	2	#org49	#per4
443	2	#424	#per277
42	2	#per144	#per233
1324	1	#per186	#per419
1304	1	#org4	#per170
1315	1	#per237	#per332
1305	1	#per253	#per320
1880	1	#pla79	#pla94
1318	1	#org71	#per229
1881	1	#per215	#per349
1323	1	#per153	#per250
1314	1	#pla101	#pla127
1322	1	#per14	#per251
1310	1	#per266	#per7
1876	1	#org91	#per132
1877	1	#per180	#per4
1872	1	#per168	#per316
1316	1	#per16	#per5
1871	1	#org68	#per285
1309	1	#per142	#pla91
1878	1	#per297	#per405
1311	1	#org80	#per272
1307	1	#per142	#pla92
1879	1	#org66	#per2
1321	1	#per158	#per177
1320	1	#org63	#pla108
1312	1	#per237	#per287
1875	1	#org45	#per317
1873	1	#org42	#per137
1317	1	#org63	#per3
1336	1	#per246	#per361
1869	1	#per274	#pla202
1833	1	#per14	#pla91
1830	1	#per162	#per324
1361	1	#per338	#per357
1360	1	#per234	#per408
1831	1	#per158	#per351
1832	1	#per131	#per410
1359	1	#per135	#per35
1834	1	#per290	#per319
1363	1	#org53	#per136
1835	1	#pla86	#pla90
1836	1	#per315	#per87
1357	1	#org71	#per203
1837	1	#pla	#pla144
1356	1	#org41	#per121
1839	1	#per188	#per309
1362	1	#per397	#pla110
1364	1	#org80	#pla16
1325	1	#per143	#pla5
1371	1	#per303	#per78
1377	1	#per239	#per361
1376	1	#per205	#per252
1375	1	#pla17	#pla9
1374	1	#org83	#pla82
1373	1	#org78	#per280
1372	1	#org78	#per14
1370	1	#per143	#pla133
1829	1	#per175	#per424
1369	1	#per170	#pla16
1824	1	#per296	#per371
1368	1	#org70	#per250
1827	1	#per131	#per226
1828	1	#per276	#pla144
1365	1	#per253	#per428
1840	1	#per213	#per342
1353	1	#per313	#per417
1841	1	#org83	#pla80
1860	1	#org91	#per16
1857	1	#pla126	#pla5
1339	1	#per218	#per424
1337	1	#per133	#per327
1858	1	#per297	#per309
1335	1	#org64	#per134
1859	1	#org0	#per72
1332	1	#org55	#org56
1842	1	#per209	#per392
1862	1	#org41	#per326
1330	1	#per148	#per171
1863	1	#org92	#per104
1329	1	#per141	#pla82
1864	1	#pla110	#pla112
1865	1	#org0	#per125
1340	1	#pla107	#pla133
1341	1	#org45	#per341
1854	1	#pla101	#pla133
1853	1	#org91	#per122
1851	1	#	#per264
1342	1	#pla101	#pla112
1850	1	#pla113	#pla41
1343	1	#per273	#per277
1344	1	#pla103	#pla16
1848	1	#org67	#pla123
1345	1	#per193	#per286
1346	1	#per131	#per174
1847	1	#per389	#per429
1348	1	#per249	#per297
1349	1	#per131	#pla142
1351	1	#per290	#per367
1352	1	#per395	#pla124
1302	1	#per182	#per410
1280	1	#org43	#per400
1883	1	#per135	#per344
1951	1	#per140	#pla134
1953	1	#per177	#per320
1227	1	#per182	#pla
1226	1	#per14	#pla136
