;whoid;correspid;whoid_name;correspid_name
0;#org4;#per12;Anjo;José
1;#org4;#per12;Anjo;José
2;#org4;#per12;Anjo;José
3;#org4;#per12;Anjo;José
4;#org4;#org0;Anjo;Pessoas
5;#org4;#per58;Anjo;Maria Madalena
6;#org4;#per59;Anjo;Maria
7;#org4;#per58;Anjo;Maria Madalena
8;#org4;#per59;Anjo;Maria
9;#org4;#per58;Anjo;Maria Madalena
10;#org4;#per59;Anjo;Maria
11;#org8;#pla1;Profétas;Belem
12;#org10;#per10;Reis Magos;Herodes
13;#org5;#per10;Escribas;Herodes
14;#org5;#per10;Escribas;Herodes
15;#org5;#per1;Escribas;Jesus
16;#org5;#org5;Escribas;Escribas
17;#org5;#per1;Escribas;Jesus
18;#org5;#per1;Escribas;Jesus
19;#org5;#per1;Escribas;Jesus
20;#org5;#org0;Escribas;Pessoas
21;#org5;#org0;Escribas;Pessoas
22;#org5;#org0;Escribas;Pessoas
23;#org5;#org0;Escribas;Pessoas
24;#org5;#org0;Escribas;Pessoas
25;#per10;#org10;Herodes;Reis Magos
26;#per10;#org26;Herodes;Servos de Herodes
27;#per18;#org0;João Batista;Pessoas
28;#per18;#org2;João Batista;Fariseus
29;#per18;#org7;João Batista;Saduceus
30;#per18;#org2;João Batista;Fariseus
31;#per18;#org7;João Batista;Saduceus
32;#per18;#org2;João Batista;Fariseus
33;#per18;#org7;João Batista;Saduceus
34;#per18;#org2;João Batista;Fariseus
35;#per18;#org7;João Batista;Saduceus
36;#per18;#org2;João Batista;Fariseus
37;#per18;#org7;João Batista;Saduceus
38;#per18;#org2;João Batista;Fariseus
39;#per18;#org7;João Batista;Saduceus
40;#per18;#per1;João Batista;Jesus
41;#org2;#org3;Fariseus;Discípulos
42;#org2;#org0;Fariseus;Pessoas
43;#org2;#per1;Fariseus;Jesus
44;#org2;#per1;Fariseus;Jesus
45;#org2;#org0;Fariseus;Pessoas
46;#org2;#per1;Fariseus;Jesus
47;#org2;#per1;Fariseus;Jesus
48;#org2;#org0;Fariseus;Pessoas
49;#org2;#org0;Fariseus;Pessoas
50;#org2;#per1;Fariseus;Jesus
51;#org2;#per1;Fariseus;Jesus
52;#org2;#per1;Fariseus;Jesus
53;#org2;#per1;Fariseus;Jesus
54;#org2;#per1;Fariseus;Jesus
55;#org2;#per1;Fariseus;Jesus
56;#org2;#per1;Fariseus;Jesus
57;#org2;#org0;Fariseus;Pessoas
58;#org2;#org0;Fariseus;Pessoas
59;#org2;#org0;Fariseus;Pessoas
60;#org2;#per50;Fariseus;Pilatos
61;#org2;#per50;Fariseus;Pilatos
62;#org7;#org0;Saduceus;Pessoas
63;#org7;#org0;Saduceus;Pessoas
64;#org7;#per1;Saduceus;Jesus
65;#org7;#per1;Saduceus;Jesus
66;#org7;#per1;Saduceus;Jesus
67;#org7;#per1;Saduceus;Jesus
68;#org7;#per1;Saduceus;Jesus
69;#per1;#per18;Jesus;João Batista
70;#per1;#per20;Jesus;Diabo
71;#per1;#per20;Jesus;Diabo
72;#per1;#per20;Jesus;Diabo
73;#per1;#org0;Jesus;Pessoas
74;#per1;#per21;Jesus;Simão Pedro
75;#per1;#per22;Jesus;André
76;#per1;#org3;Jesus;Discípulos
77;#per1;#org0;Jesus;Pessoas
78;#per1;#org3;Jesus;Discípulos
79;#per1;#org0;Jesus;Pessoas
80;#per1;#org3;Jesus;Discípulos
81;#per1;#org0;Jesus;Pessoas
82;#per1;#org3;Jesus;Discípulos
83;#per1;#org0;Jesus;Pessoas
84;#per1;#org3;Jesus;Discípulos
85;#per1;#org0;Jesus;Pessoas
86;#per1;#org3;Jesus;Discípulos
87;#per1;#org0;Jesus;Pessoas
88;#per1;#org3;Jesus;Discípulos
89;#per1;#org0;Jesus;Pessoas
90;#per1;#org3;Jesus;Discípulos
91;#per1;#org0;Jesus;Pessoas
92;#per1;#org3;Jesus;Discípulos
93;#per1;#org0;Jesus;Pessoas
94;#per1;#org3;Jesus;Discípulos
95;#per1;#org0;Jesus;Pessoas
96;#per1;#org3;Jesus;Discípulos
97;#per1;#org0;Jesus;Pessoas
98;#per1;#org3;Jesus;Discípulos
99;#per1;#org0;Jesus;Pessoas
100;#per1;#org3;Jesus;Discípulos
101;#per1;#org0;Jesus;Pessoas
102;#per1;#org3;Jesus;Discípulos
103;#per1;#org0;Jesus;Pessoas
104;#per1;#org3;Jesus;Discípulos
105;#per1;#org0;Jesus;Pessoas
106;#per1;#org3;Jesus;Discípulos
107;#per1;#org0;Jesus;Pessoas
108;#per1;#org3;Jesus;Discípulos
109;#per1;#org0;Jesus;Pessoas
110;#per1;#org3;Jesus;Discípulos
111;#per1;#org0;Jesus;Pessoas
112;#per1;#org3;Jesus;Discípulos
113;#per1;#org0;Jesus;Pessoas
114;#per1;#org3;Jesus;Discípulos
115;#per1;#org0;Jesus;Pessoas
116;#per1;#org3;Jesus;Discípulos
117;#per1;#org0;Jesus;Pessoas
118;#per1;#org3;Jesus;Discípulos
119;#per1;#org0;Jesus;Pessoas
120;#per1;#org3;Jesus;Discípulos
121;#per1;#org0;Jesus;Pessoas
122;#per1;#org3;Jesus;Discípulos
123;#per1;#org0;Jesus;Pessoas
124;#per1;#org3;Jesus;Discípulos
125;#per1;#org0;Jesus;Pessoas
126;#per1;#org3;Jesus;Discípulos
127;#per1;#org0;Jesus;Pessoas
128;#per1;#org3;Jesus;Discípulos
129;#per1;#org0;Jesus;Pessoas
130;#per1;#org3;Jesus;Discípulos
131;#per1;#org0;Jesus;Pessoas
132;#per1;#org3;Jesus;Discípulos
133;#per1;#org0;Jesus;Pessoas
134;#per1;#org3;Jesus;Discípulos
135;#per1;#org0;Jesus;Pessoas
136;#per1;#org3;Jesus;Discípulos
137;#per1;#org0;Jesus;Pessoas
138;#per1;#org3;Jesus;Discípulos
139;#per1;#org0;Jesus;Pessoas
140;#per1;#org3;Jesus;Discípulos
141;#per1;#org0;Jesus;Pessoas
142;#per1;#org3;Jesus;Discípulos
143;#per1;#org0;Jesus;Pessoas
144;#per1;#org3;Jesus;Discípulos
145;#per1;#org0;Jesus;Pessoas
146;#per1;#org3;Jesus;Discípulos
147;#per1;#org0;Jesus;Pessoas
148;#per1;#org3;Jesus;Discípulos
149;#per1;#org0;Jesus;Pessoas
150;#per1;#org3;Jesus;Discípulos
151;#per1;#org0;Jesus;Pessoas
152;#per1;#org3;Jesus;Discípulos
153;#per1;#org0;Jesus;Pessoas
154;#per1;#org3;Jesus;Discípulos
155;#per1;#org0;Jesus;Pessoas
156;#per1;#org3;Jesus;Discípulos
157;#per1;#org0;Jesus;Pessoas
158;#per1;#org3;Jesus;Discípulos
159;#per1;#org0;Jesus;Pessoas
160;#per1;#org3;Jesus;Discípulos
161;#per1;#org0;Jesus;Pessoas
162;#per1;#org3;Jesus;Discípulos
163;#per1;#org0;Jesus;Pessoas
164;#per1;#org3;Jesus;Discípulos
165;#per1;#org0;Jesus;Pessoas
166;#per1;#org3;Jesus;Discípulos
167;#per1;#org0;Jesus;Pessoas
168;#per1;#org3;Jesus;Discípulos
169;#per1;#org0;Jesus;Pessoas
170;#per1;#org3;Jesus;Discípulos
171;#per1;#org0;Jesus;Pessoas
172;#per1;#org3;Jesus;Discípulos
