	0
0	Tabernáculo
1	Carmi
2	Sitri
3	Cosecha
4	Pitón
5	Séfora
6	Coat
7	Nefeg
8	Pi
9	Nadab
10	Abiasaf
11	Jamín
12	Jaquín
13	Futiel
14	Nun
15	Abib
16	Eliezer
17	Finees
18	Sifra
19	Etam
20	Musi
21	Masah
22	Tumim
23	Merari
24	Izhar
25	Elcana
26	Semanas
27	Simei
28	Urim
29	Uri
30	Fúa
31	Jocabed
32	Coré
33	Baal
34	Refidim
35	Lugar
36	Asera
37	Reuel
38	Elisabet
39	Sin
40	Ahisamac
41	Meriba
42	Hur
43	Naasón
44	Itamar
45	Ramesés
46	Uziel
47	Rojo
48	Amalec
49	María
50	Falú
51	Celoso
52	Madián
53	Bezaleel
54	Aminadab
55	Migdol
56	Elzafán
57	Zicri
58	Siega
59	Arca
60	Elim
61	Horeb
62	Saúl
63	Mara
64	Aholiab
65	Abiú
66	Eleazar
67	Panes
68	Testimonio
69	Jetro
