	entity	frequency
19	Templo	9
37	Sumo	7
0	Rey	5
9	Santo	4
39	Magdalena	4
4	Bautista	4
5	Olivos	3
21	Concilio	3
12	Maestro	3
32	Monte	3
17	Herodías	3
31	Escritura	2
24	Calvo	2
28	Panes	2
29	Fiesta	2
13	Escrituras	2
26	Salomé	2
18	Iscariote	2
30	Idumea	1
33	Calavera	1
34	Boanerges	1
35	Altísimo	1
36	Hijos	1
2	Rufo	1
38	Corbán	1
27	Judíos	1
22	El	1
25	Quotation	1
23	Timeo	1
6	Dalmanuta	1
1	References	1
3	Jairo	1
16	Bendito	1
15	Valera	1
14	Beelzebú	1
11	Mirad	1
10	Eloi	1
8	Alejandro	1
7	Bartimeo	1
20	Genesis	1
