id	latitude	longitude
#pla110	31.9416	35.222734
#pla112	30.7140861	34.8757476
#pla115	31.532569	35.099826
#pla11	32.88033	35.573307
#pla12	32.7932395	35.117095
#pla14	34.802075	38.996815
#pla151	42.6819735	27.7017358
#pla153	34.5531284	18.0480105
#pla156	33.854721	35.862285
#pla159	29.5	34
#pla161	9.145	40.489673
#pla169	-8.783195	34.508523
#pla170	35.126413	33.429859
#pla171	36.1968031	36.1612344
#pla172	31.2000924	29.9187387
#pla175	20.280232	38.512573
#pla176	29.5	34
#pla178	36.9165612	34.8952102
#pla181	33.898013	35.506519
#pla182	35.126413	33.429859
#pla184	37.9290786	23.5133267
#pla185	34.7720133	32.4297369
#pla186	36.9613995	30.8540568
#pla188	36.1968031	36.1612344
#pla189	37.7188751	30.2848709
#pla190	37.8746429	32.4931554
#pla199	41.608635	21.745275
#pla1	31.7053821	35.2024425
#pla200	40.6400629	22.9444191
#pla202	39.7517207	26.1587906
#pla204	40.4476834	25.5917918
#pla205	35.2563455	25.6048531
#pla20	36.229574	42.2362435
#pla210	37.9838096	23.7275388
#pla212	37.9386365	22.9322383
#pla213	41.87194	12.56738
#pla214	41.9027835	12.4963655
#pla216	31.2000924	29.9187387
#pla217	39.074208	21.824312
#pla21	32.8244321	35.5879975
#pla225	36.4340533	28.2176379
#pla22	33.2704888	35.2037641
#pla233	35.240117	24.8092691
#pla238	31.189689	16.5701927
#pla239	41.8550904	17.2902839
#pla23	33.5570691	35.372948
#pla240	35.937496	14.375416
#pla241	37.0754739	15.2865861
#pla248	30.8019078	31.8382036
#pla26	31.8611058	35.4617583
#pla273	31.5590287	35.4731895
#pla27	31.7772471	35.2507666
#pla28	31.7779317	35.2456983
#pla295	38.322579	23.3204309
#pla297	26.3351	17.228331
#pla2	31.9032154	35.2035394
#pla312	32.8179087	34.9903784
#pla33	32.8034486	21.8628205
#pla34	31.7839847	35.2302743
#pla3	31.768319	35.21371
#pla418	32.0852999	34.7817676
#pla43	32.8244321	35.5879975
#pla445	19.4914108	47.4490397
#pla455	32.427908	53.688046
#pla475	40.463667	-3.74922
#pla4	31.046051	34.851612
#pla51	32.422877	35.3027226
#pla5	26.820553	30.802498
#pla60	38.4881781	28.0402107
#pla62	37.9484155	27.3680552
#pla64	35.2764957	42.6289045
#pla65	38.423734	27.142826
#pla66	35.5407103	35.7952667
#pla6	32.937112	35.366984
#pla70	37.3129763	26.5468773
#pla741	32.1957948	48.254283
#pla7	32.8244321	35.5879975
#pla80	33.5138073	36.2765279
#pla81	31.3546763	34.3088255
#pla82	34.5337527	43.483738
#pla8	32.699635	35.303546
#pla93	39.7024393	44.2990761
#pla9	30.585164	36.238414
#		
