id	libro	testamento	hecho	english	codebook	Chapters	Genre
1	Génesis	antiguo	1	Genesis	GEN	50	historical
2	Éxodo	antiguo	1	Exodus	EXO	40	historical
3	Levítico	antiguo		Leviticus	LEV	27	law
4	Números	antiguo		Numbers	NUM	36	law
5	Deuteronomio	antiguo		Deuteronomy	DEU	34	law
6	Josué	antiguo		Joshua	JOS	24	historical
7	Jueces	antiguo		Judges	JDG	21	historical
8	Rut	antiguo	1	Ruth	RUT	4	historical
9	1 Samuel	antiguo	*	1 Samuel	1SA	31	historical
10	2 Samuel	antiguo	*	2 Samuel	2SA	24	historical
11	1 Reyes	antiguo		1 Kings	1KI	22	historical
12	2 Reyes	antiguo		2 Kings	2KI	25	historical
13	1 Crónicas	antiguo		1 Chronicles	1CH	29	historical
14	2 Crónicas	antiguo		2 Chronicles	2CH	36	historical
15	Esdras	antiguo		Ezra	EZR	10	historical
16	Nehemías	antiguo		Nehemiah	NEH	13	historical
17	Ester	antiguo		Esther	EST	10	historical
18	Job	antiguo		Job	JOB	42	wisdom
19	Salmos	antiguo	0.5	Psalms	PSA	150	lyric
20	Proverbios	antiguo		Proverbs	PRO	31	wisdom
21	Eclesiastés	antiguo		Ecclesiastes	ECC	12	wisdom
22	Cantares	antiguo		Song of Solomon	SON	8	lyric
23	Isaías	antiguo		Isaiah	ISA	66	apocalyptic
24	Jeremías	antiguo		Jeremiah	JER	52	prophecy
25	Lamentaciones	antiguo		Lamentations	LAM	5	lyric
26	Ezequiel	antiguo		Ezekiel	EZE	48	prophecy
27	Daniel	antiguo		Daniel	DAN	12	prophecy
28	Oseas	antiguo		Hosea	HOS	14	prophecy
29	Joel	antiguo		Joel	JOE	3	prophecy
30	Amós	antiguo		Amos	AMO	9	prophecy
31	Abdías	antiguo		Obadiah	OBA	1	prophecy
32	Jonás	antiguo	1	Jonah	JON	4	historical
33	Miqueas	antiguo	1	Micah	MIC	7	prophecy
34	Nahúm	antiguo	1	Nahum	NAH	3	prophecy
35	Habacuc	antiguo	1	Habakkuk	HAB	3	prophecy
36	Sofonías	antiguo	1	Zephaniah	ZEP	3	prophecy
37	Hageo	antiguo	1	Haggai	HAG	2	prophecy
38	Zacarías	antiguo	1	Zechariah	ZEC	14	prophecy
39	Malaquías	antiguo	1	Malachi	MAL	4	prophecy
40	Mateo	nuevo	1	Matthew	MAT	28	Gospel
41	Marcos	nuevo	1	Mark	MAR	16	Gospel
42	Lucas	nuevo		Luke	LUK	24	Gospel
43	Juan	nuevo		John	JOH	21	Gospel
44	Hechos	nuevo	1	Acts	ACT	28	Gospel
45	Romanos	nuevo		Romans	ROM	16	letter
46	1 Corintios	nuevo		1 Corinthians	1CO	16	letter
47	2 Corintios	nuevo		2 Corinthians	2CO	13	letter
48	Gálatas	nuevo		Galatians	GAL	6	letter
49	Efesios	nuevo		Ephesians	EPH	6	letter
50	Filipenses	nuevo		Philippians	PHI	4	letter
51	Colosenses	nuevo		Colossians	COL	4	letter
52	1 Tesalonicenses	nuevo		1 Thessalonians	1TH	5	letter
53	2 Tesalonicenses	nuevo		2 Thessalonians	2TH	3	letter
54	1 Timoteo	nuevo		1 Timothy	1TI	6	letter
55	2 Timoteo	nuevo		2 Timothy	2TI	4	letter
56	Tito	nuevo		Titus	TIT	3	letter
57	Filemón	nuevo		Philemon	PHM	1	letter
58	Hebreos	nuevo		Hebrews	HEB	13	letter
59	Santiago	nuevo		James	JAM	5	letter
60	1 Pedro	nuevo		1 Peter	1PE	5	letter
61	2 Pedro	nuevo		2 Peter	2PE	3	letter
62	1 Juan	nuevo		1 John	1JO	5	letter
63	2 Juan	nuevo		2 John	2JO	1	letter
64	3 Juan	nuevo		3 John	3JO	1	letter
65	Judas	nuevo		Jude	JUD	1	letter
66	Apocalipsis	nuevo	1	Revelation	REV	22	apocalyptic
