	name	freq
181	Dios	229
48	Jacob	195
195	José	173
348	Jehová	168
217	Abraham	136
354	Isaac	88
328	Esaú	77
161	Egipto	77
94	Abram	60
279	Labán	58
16	Israel	46
143	Canaán	46
17	Raquel	42
14	Noé	41
338	Sara	37
70	Lea	34
43	Rebeca	33
256	Lot	32
112	Judá	30
157	Abimelec	24
353	En	23
355	Sodoma	21
107	Siquem	19
73	Ismael	18
134	Sarai	17
292	Benjamín	17
296	Nacor	16
170	Caín	16
315	Agar	15
213	Sem	14
132	Adán	14
306	Het	13
169	Edom	13
266	Harán	13
211	Rubén	12
201	Efrón	11
210	Hamor	11
20	Manasés	11
230	Beerseba	11
184	Efraín	11
68	Simeón	10
85	Mamre	10
92	Lamec	10
316	Gosén	10
194	Taré	9
183	Bilha	9
153	Cam	9
57	Betuel	9
303	Aná	9
159	Dina	9
93	Jafet	9
50	Seir	9
377	Enoc	9
176	Señor	9
46	Gomorra	9
259	Ada	8
232	Gerar	8
255	Abel	8
360	Heber	8
349	Set	7
310	Zoar	7
44	Milca	7
284	Aholibama	7
294	Zilpa	7
84	Zibeón	6
359	Macpela	6
222	Sala	6
146	Arfaxad	6
336	Galaad	6
74	Enós	6
311	Elifaz	6
307	Leví	6
243	Dan	6
252	Basemat	6
59	Edén	6
133	Mahalaleel	5
128	Tamar	5
334	Peleg	5
322	Sela	5
309	Er	5
376	Bela	5
18	Hebrón	5
196	Ángel	5
358	Matusalén	5
185	Quedorlaomer	5
298	Jordán	5
193	Onán	5
33	Jared	5
175	Seba	5
108	Neguev	5
28	Reuel	5
25	Cainán	5
200	Reu	4
125	Serug	4
229	Sinar	4
225	Temán	4
117	Gad	4
149	Lotán	4
224	Altísimo	4
178	Éufrates	4
253	Efrata	4
291	Isacar	4
241	Coré	4
192	Neftalí	4
254	Cus	4
96	Havila	4
21	Zabulón	4
379	Aser	4
9	Disón	4
41	Zila	3
335	Fares	3
131	Joctán	3
63	Jaalam	3
369	Asiria	3
226	Zohar	3
66	Jeús	3
136	Timnat	3
312	Elón	3
32	Potifera	3
15	Aram	3
155	Nebaiot	3
382	Ur	3
216	Disán	3
272	Jobab	3
31	Rehobot	3
197	Ezer	3
276	Shur	3
302	Sidim	3
378	Adma	3
88	Zera	3
282	Ficol	3
332	Súa	3
327	Sobal	3
105	Asenat	3
245	Saúl	3
288	Cenaz	3
116	Elam	3
119	Dedán	3
165	On	3
38	Sidón	3
235	Zeboim	3
36	Madián	3
233	Cades	3
350	Luz	3
203	Eva	2
365	Gomer	2
367	Metusael	2
39	Nínive	2
188	Nahat	2
199	Hira	2
13	Bería	2
277	Elasar	2
238	Sama	2
3	Hanoc	2
257	Aner	2
260	Goim	2
244	Omar	2
6	Mizraim	2
242	Zefo	2
262	Dotán	2
263	Irad	2
8	Nimrod	2
274	Miza	2
231	Gatam	2
11	Amrafel	2
227	Enaim	2
12	Arioc	2
172	Escol	2
221	Javán	2
212	Babel	2
373	Parán	2
364	Hezrón	2
179	Potifar	2
154	Cala	2
83	Raama	2
341	Cetura	2
342	Belén	2
343	Samla	2
321	Moab	2
160	Hai	2
147	Husam	2
115	Acbor	2
60	Hadad	2
324	Hadar	2
86	Mas	2
56	Amalec	2
81	Jocsán	2
168	Atad	2
55	Peniel	2
78	Mehujael	2
345	Sucot	2
80	Tidal	2
152	Zara	2
313	Suni	1
340	Malquiel	1
344	Ararat	1
268	Almodad	1
267	Togarma	1
314	Mujer	1
317	Fuerte	1
362	Cedar	1
318	Roca	1
265	Rifat	1
330	Pinón	1
333	Damasco	1
381	Rey	1
329	Matred	1
258	Efer	1
380	Sefar	1
337	Jabal	1
261	Ros	1
325	Dodanim	1
323	Tarsis	1
339	Itrán	1
320	Kemuel	1
319	Carmi	1
270	Reúma	1
264	Pisón	1
269	Alván	1
273	Elda	1
271	Teba	1
297	Avit	1
368	Asbel	1
283	Save	1
356	Asur	1
285	Fut	1
286	Isúi	1
287	Ohad	1
357	Abimael	1
301	Selef	1
295	Tiras	1
366	Jetur	1
289	Gaza	1
290	Ehi	1
361	Jidlaf	1
293	Nod	1
300	Hoba	1
352	Arodi	1
308	Acán	1
275	Querán	1
363	Semeber	1
375	Lud	1
346	Hemam	1
374	Eri	1
305	Mesec	1
347	Cedema	1
304	Benoni	1
281	Pildas	1
278	Medán	1
372	Acad	1
351	Ramesés	1
280	Masreca	1
371	Jamín	1
370	Mizpa	1
331	Lasa	1
0	Jaboc	1
251	Eliezer	1
72	Hori	1
76	Dicla	1
77	Salado	1
79	Dinaba	1
82	Merari	1
87	Mar	1
89	Mezaab	1
90	Calne	1
91	Anamim	1
95	Isca	1
97	Judit	1
98	Areli	1
99	Leumim	1
100	Bered	1
101	Sahaduta	1
102	Arán	1
103	Birsa	1
104	Isúa	1
106	Jubal	1
109	Casluhim	1
110	Esbán	1
111	Hazo	1
113	Ham	1
114	Jera	1
118	Bosra	1
120	Hul	1
121	Alva	1
250	Juez	1
75	Onam	1
71	Mahalat	1
124	Ludim	1
69	Sefo	1
2	Fúa	1
4	Mesa	1
5	Salem	1
7	Manahat	1
10	Nafis	1
19	Maquir	1
22	Mahanaim	1
26	Siloh	1
27	Zaaván	1
29	Ahuzat	1
30	Uzal	1
35	Tema	1
37	Resén	1
40	Todopoderoso	1
42	Massa	1
45	Pastor	1
47	More	1
49	Terror	1
51	Naama	1
52	Sabteca	1
53	Jahleel	1
54	Bera	1
58	Job	1
61	Débora	1
62	Mibzar	1
64	Karnaim	1
65	Jezer	1
123	Patrusim	1
122	Simrón	1
126	Caftorim	1
182	Buz	1
187	Abida	1
127	Hagui	1
190	Aja	1
191	Asurim	1
1	Sera	1
198	Beeri	1
202	Silem	1
204	Ard	1
206	Lehabim	1
207	Iram	1
208	Guni	1
209	Geter	1
214	Gera	1
218	Jetet	1
219	Hamul	1
220	Hidekel	1
223	Tahas	1
228	Ebal	1
234	Falú	1
236	Adbeel	1
237	Letusim	1
239	Coat	1
240	Ela	1
246	Tubal	1
247	Duma	1
248	Pau	1
249	Melquisedec	1
186	Erec	1
189	Magog	1
180	Naftuhim	1
151	Mesopotamia	1
129	Beor	1
130	Gihón	1
135	Zimram	1
137	Isbac	1
138	Bedad	1
139	Mupim	1
140	Mehetabel	1
141	Sinab	1
142	Mibsam	1
144	Quezib	1
145	Maaca	1
148	Arba	1
177	Madai	1
150	Ezbón	1
383	Astarot	1
166	Jaquín	1
158	Gaham	1
162	Hupim	1
163	Bequer	1
164	Naamán	1
156	Sabta	1
171	Quitim	1
167	Moriah	1
174	Padan	0
67	Migdal	0
173	Baal	0
215	Quiriat	0
326	Ben	0
23	Hazezon	0
205	Zafnat	0
34	Hazar	0
299	Bet	0
24	Viviente	0
