,Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID,id
27556,Babilonia,Babilonia,b.MAT.001.011,44.431644,32.541781,27556,,,,27556
27557,Babilonia,Babilonia,b.MAT.001.012,44.431644,32.541781,27557,,,,27557
27562,Babilonia,Babilonia,b.MAT.001.017,44.431644,32.541781,27562,,,,27562
27572,Belén,Belén,b.MAT.002.001,35.2024425,31.7053821,27572,,,,27572
27573,Jerusalén,Jerusalén,b.MAT.002.001,35.21371,31.768319,27573,,,,27573
27574,Judea,Judea,b.MAT.002.001,35.2035394,31.903215399999997,27574,,,,27574
27576,Jerusalén,Jerusalén,b.MAT.002.003,35.21371,31.768319,27576,,,,27576
27578,Belén,Belén,b.MAT.002.005,35.2024425,31.7053821,27578,,,,27578
27579,Judea,Judea,b.MAT.002.005,35.2035394,31.903215399999997,27579,,,,27579
27580,Belén,Belén,b.MAT.002.006,35.2024425,31.7053821,27580,,,,27580
27581,Judea,Judea,b.MAT.002.006,35.2035394,31.903215399999997,27581,,,,27581
27583,Belén,Belén,b.MAT.002.008,35.2024425,31.7053821,27583,,,,27583
27588,Egipto,Egipto,b.MAT.002.013,30.802497999999996,26.820553000000004,27588,,,,27588
27589,Egipto,Egipto,b.MAT.002.014,30.802497999999996,26.820553000000004,27589,,,,27589
27590,Egipto,Egipto,b.MAT.002.015,30.802497999999996,26.820553000000004,27590,,,,27590
27591,Belén,Belén,b.MAT.002.016,35.2024425,31.7053821,27591,,,,27591
27593,Ramá,Ramá,b.MAT.002.018,35.366984,32.937112,27593,,,,27593
27594,Egipto,Egipto,b.MAT.002.019,30.802497999999996,26.820553000000004,27594,,,,27594
27595,Israel,Israel,b.MAT.002.020,34.851612,31.046051000000002,27595,,,,27595
27596,Israel,Israel,b.MAT.002.021,34.851612,31.046051000000002,27596,,,,27596
27597,Judea,Judea,b.MAT.002.022,35.2035394,31.903215399999997,27597,,,,27597
27598,Galilea,Galilea,b.MAT.002.022,35.5879975,32.8244321,27598,,,,27598
27599,Nazaret,Nazaret,b.MAT.002.023,35.303546000000004,32.699635,27599,,,,27599
27600,Judea,Judea,b.MAT.003.001,35.2035394,31.903215399999997,27600,,,,27600
27604,Jordán,Jordán,b.MAT.003.005,36.238414,30.585164000000002,27604,,,,27604
27605,Jerusalén,Jerusalén,b.MAT.003.005,35.21371,31.768319,27605,,,,27605
27606,Judea,Judea,b.MAT.003.005,35.2035394,31.903215399999997,27606,,,,27606
27607,Jordán,Jordán,b.MAT.003.006,36.238414,30.585164000000002,27607,,,,27607
27614,Jordán,Jordán,b.MAT.003.013,36.238414,30.585164000000002,27614,,,,27614
27615,Galilea,Galilea,b.MAT.003.013,35.5879975,32.8244321,27615,,,,27615
27624,templo,templo,b.MAT.004.005,35.619167,33.186667,27624,,,,27624
27625,Jerusalén,Jerusalén,b.MAT.004.005,35.21371,31.768319,27625,,,,27625
27630,Nínive,Nínive,b.MAT.004.010,42.2362435,36.229574,27630,,,,27630
27632,Galilea,Galilea,b.MAT.004.012,35.5879975,32.8244321,27632,,,,27632
