,Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
134,,,b.GEN.005.021,,,134,,,
135,,,b.GEN.005.022,,,135,,,
136,,,b.GEN.005.023,,,136,,,
137,,,b.GEN.005.024,,,137,,,
138,,,b.GEN.005.025,,,138,,,
139,,,b.GEN.005.026,,,139,,,
140,,,b.GEN.005.027,,,140,,,
141,,,b.GEN.005.028,,,141,,,
142,tierra,tierra,b.GEN.005.029,0.0,-90.0,142,,,
143,,,b.GEN.005.030,,,143,,,
144,,,b.GEN.005.031,,,144,,,
145,,,b.GEN.005.032,,,145,,,
146,tierra,tierra,b.GEN.006.001,0.0,-90.0,146,,,
147,,,b.GEN.006.002,,,147,,,
148,,,b.GEN.006.003,,,148,,,
149,tierra,tierra,b.GEN.006.004,0.0,-90.0,149,,,
150,tierra,tierra,b.GEN.006.005,0.0,-90.0,150,,,
151,tierra,tierra,b.GEN.006.006,0.0,-90.0,151,,,
152,tierra,tierra,b.GEN.006.007,0.0,-90.0,152,,,
153,,,b.GEN.006.008,,,153,,,
154,,,b.GEN.006.009,,,154,,,
155,,,b.GEN.006.010,,,155,,,
156,tierra,tierra,b.GEN.006.011,0.0,-90.0,156,,,
157,tierra,tierra,b.GEN.006.012,0.0,-90.0,157,,,
158,tierra,tierra,b.GEN.006.013,0.0,-90.0,158,,,
159,,,b.GEN.006.014,,,159,,,
160,,,b.GEN.006.015,,,160,,,
161,,,b.GEN.006.016,,,161,,,
162,tierra,tierra,b.GEN.006.017,0.0,-90.0,162,,,
163,,,b.GEN.006.018,,,163,,,
164,,,b.GEN.006.019,,,164,,,
165,tierra,tierra,b.GEN.006.020,0.0,-90.0,165,,,
166,,,b.GEN.006.021,,,166,,,
167,,,b.GEN.006.022,,,167,,,
168,,,b.GEN.007.001,,,168,,,
169,,,b.GEN.007.002,,,169,,,
170,tierra,tierra,b.GEN.007.003,0.0,-90.0,170,,,
171,tierra,tierra,b.GEN.007.004,0.0,-90.0,171,,,
172,,,b.GEN.007.005,,,172,,,
173,tierra,tierra,b.GEN.007.006,0.0,-90.0,173,,,
174,,,b.GEN.007.007,,,174,,,
175,tierra,tierra,b.GEN.007.008,0.0,-90.0,175,,,
176,,,b.GEN.007.009,,,176,,,
177,tierra,tierra,b.GEN.007.010,0.0,-90.0,177,,,
178,,,b.GEN.007.011,,,178,,,
179,tierra,tierra,b.GEN.007.012,0.0,-90.0,179,,,
180,,,b.GEN.007.013,,,180,,,
181,tierra,tierra,b.GEN.007.014,0.0,-90.0,181,,,
182,,,b.GEN.007.015,,,182,,,
183,,,b.GEN.007.016,,,183,,,
184,tierra,tierra,b.GEN.007.017,0.0,-90.0,184,,,
185,tierra,tierra,b.GEN.007.018,0.0,-90.0,185,,,
186,tierra,tierra,b.GEN.007.019,0.0,-90.0,186,,,
