	weight	source	target
1316	5	#org88	#per173
2580	5	#per182	#per197
894	5	#per180	#per433
2618	5	#per131	#per214
12	5	#org0	#per6
726	5	#per131	#per211
1787	5	#org88	#per157
954	5	#per16	#per173
286	5	#per145	#pla77
2475	5	#per2	#pla83
439	5	#org84	#pla134
2031	5	#per109	#per16
553	5	#per186	#per5
1927	5	#org85	#pla5
1793	5	#org4	#pla18
176	5	#per121	#per4
2425	5	#org53	#pla101
403	5	#per127	#per4
193	5	#per109	#per14
1623	5	#org78	#per134
2280	5	#org63	#per150
624	5	#per178	#per267
1961	5	#org88	#per131
1960	5	#per180	#per205
2358	5	#per14	#per5
2452	5	#per181	#per4
2158	5	#org63	#org88
2193	5	#per133	#per267
2257	4	#per131	#per160
718	4	#per120	#per173
1580	4	#per260	#per285
2504	4	#org13	#per4
1610	4	#per4	#pla15
660	4	#per157	#per181
1667	4	#per227	#per385
2496	4	#per134	#pla134
2517	4	#per138	#per385
2728	4	#per124	#per14
13	4	#per14	#pla83
728	4	#per134	#per149
2458	4	#pla78	#pla84
2457	4	#per14	#per152
335	4	#per2	#pla107
1554	4	#org63	#per2
2265	4	#per133	#pla147
1766	4	#per104	#pla15
2190	4	#per360	#per395
207	4	#per141	#per156
135	4	#per134	#per140
670	4	#org80	#pla16
619	4	#per121	#per173
2245	4	#org4	#per140
791	4	#org4	#per134
1653	4	#org4	#org80
1525	4	#per241	#pla41
640	4	#per172	#per214
1778	4	#per148	#per156
2275	4	#org88	#pla15
770	4	#per144	#per330
1769	4	#per121	#per135
1258	4	#per233	#per87
2162	4	#org0	#per109
1491	4	#org92	#per133
778	4	#per171	#per2
1482	4	#per134	#per251
998	4	#per14	#pla17
2700	4	#org	#per4
1113	4	#org4	#org78
2141	4	#per4	#pla134
1814	4	#per140	#per3
108	4	#org65	#org88
1815	4	#per137	#per148
1818	4	#per127	#per135
1492	4	#per191	#per260
348	4	#per159	#per171
136	4	#pla134	#pla84
189	4	#per245	#per6
1070	4	#per177	#per233
17	4	#per177	#per330
1847	4	#per136	#per141
429	4	#per186	#per6
1361	4	#per141	#per159
2299	4	#per136	#pla136
1036	4	#per136	#per171
2293	4	#per2	#per251
370	4	#per136	#per138
1917	4	#per128	#per189
1854	4	#per14	#per156
1870	4	#per4	#pla107
981	4	#org88	#pla108
1394	4	#per262	#per285
918	4	#per104	#per124
1392	4	#per14	#tim3
1885	4	#per177	#per87
516	4	#org53	#per2
1125	4	#org84	#per149
