	Source	Target	Via	Weight	Type	book
42	#per1	#org3	oral	395	Directed	MAT
62	#per1	#org3	oral	144	Directed	JOH
39	#per1	#org13	oral	103	Directed	JOH
50	#per1	#org0	oral	92	Directed	MAT
54	#per1	#org2	oral	57	Directed	MAT
75	#per1	#org0	oral	44	Directed	JOH
109	#per1	#per14	prayer	30	Directed	JOH
28	#per0	#per0	oral	29	Directed	MAT
78	#per1	#per21	oral	25	Directed	MAT
77	#per1	#org2	oral	24	Directed	JOH
33	#org3	#per1	oral	22	Directed	MAT
53	#per1	#org12	oral	21	Directed	MAT
112	#per1	#per0	oral	21	Directed	JOH
15	#per1	#per1	oral	20	Directed	JOH
33	#per1	#per103	oral	18	Directed	JOH
98	#per1	#per21	oral	15	Directed	JOH
36	#org13	#per1	oral	14	Directed	JOH
104	#org0	#org0	oral	13	Directed	JOH
25	#org0	#org0	oral	13	Directed	MAT
50	#per18	#org0	spoken	13	Directed	JOH
18	#per960	#org0	oath	12	Directed	LUK
24	#per0	#org0	oral	12	Directed	MAT
45	#per21	#per1	oral	11	Directed	MAT
75	#per1	#per0	oral	11	Directed	MAT
69	#per0	#per1	oral	10	Directed	MAT
74	#per18	#org27	oral	10	Directed	JOH
82	#per21	#per1	oral	10	Directed	JOH
6	#per11	#per959	song	10	Directed	LUK
65	#org2	#per1	oral	9	Directed	MAT
13	#per1	#org15	oral	9	Directed	JOH
3	#per1	#org15	oral	8	Directed	MAT
3	#per961	#per11	oral	8	Directed	LUK
48	#org15	#org13	oral	7	Directed	JOH
92	#per50	#org13	oral	7	Directed	JOH
116	#org13	#per50	oral	7	Directed	JOH
55	#org3	#per1	oral	7	Directed	JOH
102	#org13	#org15	oral	7	Directed	JOH
23	#org13	#org0	oral	6	Directed	JOH
67	#org13	#org13	oral	6	Directed	JOH
52	#per18	#org2	spoken	6	Directed	JOH
115	#per1	#per22	oral	6	Directed	JOH
54	#per1	#per34	oral	6	Directed	JOH
94	#per50	#per1	oral	6	Directed	JOH
76	#per108	#per1	oral	6	Directed	JOH
70	#per1	#org27	oral	6	Directed	MAT
94	#per18	#org2	oral	6	Directed	MAT
91	#per1	#per14	prayer	6	Directed	MAT
81	#org12	#per1	oral	5	Directed	MAT
95	#per1	#org18	idea	5	Directed	MAT
44	#org7	#per1	oral	5	Directed	MAT
26	#per1	#per14	idea	5	Directed	MAT
71	#per50	#org13	oral	5	Directed	MAT
13	#per961	#per960	oral	5	Directed	LUK
6	#per1	#per53	spoken	5	Directed	JOH
56	#per1	#per108	oral	4	Directed	JOH
89	#org3	#org3	oral	4	Directed	JOH
101	#per1	#per50	oral	4	Directed	JOH
11	#per963	#per14	prayer	4	Directed	LUK
19	#per958	#per476	oral	4	Directed	LUK
14	#per959	#per11	oral	4	Directed	LUK
