	genre	n	id	id_book	title	viaf	verses	number verses	number chapters	number pericopes	number of quotations	mean number quotations	median number quotations	std of number of quotations	1st perc of number of quotations	100th perc of number of quotations	number of references	mean number references	median number references	std of number of references	1st perc of number of references	100th perc of number of references	number of entities referred	number of different entities referred	most common entity id	most common entity frecuency	second most common entity id	second most common entitity frequency	most frequent entity id people	most frequenct entity frequency people	people	number of different people	most frequent entity id groups	most frequenct entity frequency groups	groups	number of different groups	most frequent entity id places	most frequenct entity frequency places	places	number of different places	most frequent entity id times	most frequenct entity frequency times	times	number of different times	most frequent entity id works	most frequenct entity frequency works	works	number of different works	number of 1st level quotations	number of 2nd level quotations	number of 3rd level quotations	number of 4th level quotations	number of 5th level quotations	number of entities communicating	number of different entities communicating	number of entities receiving communication	number of different entities receiving communication	number of oral quotations	number of dream quotations	number of praying quotations	number of oath quotations	number of written quotations	number of song quotations	number of soCalled quotations	number of idea quotations
GEN	historical	1	GEN	GEN	Génesis	174582712	1533	1533	50	79	1533	0.6131767775603392	1.0	0.6976339297442035	0	4	1533	3.2726679712981084	3.0	2.442287480699088	0	15	5285	497	#per14	419	#per4	394	#per14	419	3956	349	#org88	198	529	59	#pla5	139	793	86	#tim3	4	7	3		0	0	0	840	90	10	0	0	948	57	1078	68	857	11	15	0	1	0	2	20
EXO	historical	2	EXO	EXO	Éxodo	265859281	1213	1213	40	87	1213	0.877164056059357	1.0	0.7859625724598006	0	3	1213	2.503709810387469	2.0	2.4307629127832997	0	13	3057	165	#per14	553	#org70	543	#per14	553	1429	80	#org70	543	1021	39	#pla5	201	530	34	#tim9	24	52	9	#wor7	21	25	3	800	232	32	0	0	1110	21	1125	24	831	0	7	0	2	0	3	197
LEV	law	3	LEV	LEV	Levítico	8351147270713535700002	859	859	27	33	859	1.8428405122235156	2.0	0.99168070301138	0	4	859	1.9278230500582072	2.0	1.8325994597404627	0	10	1664	56	#per14	370	#org12	241	#per14	370	582	18	#org12	241	773	24	#pla41	93	301	10	#tim9	4	8	4		0	0	0	762	554	266	1	0	1661	5	1825	10	1026	0	0	0	0	0	1	556
NUM	law	4	NUM	NUM	Números	177805731	1288	1288	36	66	1288	0.8726708074534162	1.0	0.9992685796070384	0	4	1288	3.6017080745341614	3.0	2.749680527072262	0	19	4661	482	#org70	653	#per14	443	#per14	443	1744	206	#org70	653	2072	129	#pla263	106	803	143	#tim5	12	22	2	#wor1	7	7	1	723	234	167	0	0	1166	33	1295	33	873	0	5	2	12	6	1	225
DEU	law	5	DEU	DEU	Deuteronomio	182252847	959	959	34	74	959	1.1814389989572471	1.0	0.5273615879529587	0	3	959	3.1772679874869656	3.0	2.4609400503139574	0	14	3082	214	#per14	916	#org70	373	#per14	916	1123	32	#org70	373	1188	75	#pla4	114	728	100	#tim5	5	19	6	#wor1	24	24	1	920	203	10	0	0	1142	15	1140	25	984	0	8	2	3	44	23	50
JOS	historical	6	JOS	JOS	Josué	181443388	658	658	24	35	658	0.4133738601823708	0.0	0.6569639941001184	0	3	658	5.0167173252279635	4.0	3.045773604264779	0	20	3408	514	#per14	298	#org70	195	#per14	298	942	79	#org70	195	887	77	#pla4	193	1566	356	#tim5	2	2	1	#wor1	11	11	1	220	46	6	0	0	307	25	350	29	240	0	5	3	1	0	6	17
JDG	historical	7	JDG	JDG	Jueces	183962727	618	618	21	36	618	0.610032362459547	0.0	0.7280196705901626	0	3	618	4.288025889967638	4.0	2.588069933970326	0	17	2659	295	#per14	227	#pla4	189	#per14	227	999	80	#org70	147	829	69	#pla4	189	831	146		0	0	0		0	0	0	321	51	5	0	0	413	53	389	59	314	0	19	1	0	30	3	8
RUT	historical	8	RUT	RUT	Rut	179825447	85	85	4	4	85	0.8	1.0	0.6133436852128473	0	2	85	3.635294117647059	3.0	2.369684823444879	0	12	323	37	#per93	54	#per462	39	#per93	54	248	23	#org96	18	40	8	#pla1	14	35	6		0	0	0		0	0	0	64	4	0	0	0	71	9	80	9	67	0	0	0	0	0	0	1
1SA	historical	9	1SA	1SA	1 Samuel	183486306	810	810	31	36	810	0.7283950617283951	1.0	0.7173006961708097	0	4	810	4.279012345679012	4.0	2.4090228029458656	0	14	3513	234	#per14	421	#per522	415	#per14	421	2104	84	#org70	191	828	49	#pla4	149	579	100		0	0	0	#wor1	2	2	1	534	53	3	0	0	592	48	608	50	533	0	7	5	2	12	8	14
2SA	historical	10	2SA	2SA	2 Samuel	179039927	695	695	24	41	695	0.7309352517985611	1.0	0.7748616052747787	0	4	695	4.677697841726618	4.0	2.77955802587959	0	17	3295	299	#per35	622	#per14	231	#per35	622	2206	159	#org70	95	606	46	#pla4	137	481	93		0	0	0	#wor1	2	2	1	441	53	13	1	0	515	51	526	50	381	0	18	4	10	61	10	21
