Source,Target,Weight
#per14,#pla61,1
#per14,#pla63,1
#per14,#pla66,1
#per14,#pla70,1
#per14,#pla72,1
#per14,#tim9,1
#per17,#org30,1
#per17,#org31,1
#per17,#org32,1
#per17,#org33,1
#per17,#org34,1
#per17,#org36,1
#per17,#org8,1
#per17,#per20,1
#per17,#pla69,1
#per17,#pla71,1
#per17,#tim9,1
#per20,#org14,1
#per20,#org33,1
#per20,#org35,1
#per20,#per116,1
#per20,#per130,1
#per20,#pla15,1
#per20,#pla61,1
#per20,#pla68,1
#per20,#wor4,1
#per25,#org16,1
#per25,#org6,1
#per25,#per116,1
#per25,#per117,1
#per25,#per118,1
#per25,#per119,1
#per25,#pla15,1
#per25,#pla16,1
#per25,#pla4,1
#per25,#pla5,1
#per25,#pla62,1
#per25,#pla65,1
#per25,#pla66,1
#per25,#pla67,1
#per25,#pla70,1
#per26,#org0,1
#per35,#org35,1
#per35,#org37,1
#per35,#org52,1
#per35,#pla67,1
#per35,#wor4,1
#per5,#org39,1
#per5,#org40,1
#per5,#org41,1
#per5,#org52,1
#per5,#per109,1
#per5,#per120,1
#per5,#per25,1
#per5,#per35,1
#per5,#wor4,1
#pla15,#pla18,1
#pla18,#pla19,1
#pla19,#pla70,1
#pla3,#pla18,1
#pla3,#pla69,1
#pla3,#pla73,1
#pla5,#pla16,1
#pla71,#pla73,1
#pla75,#pla76,1
#tim2,#wor3,1
#wor3,#pla63,1
#wor3,#pla71,1
#wor3,#wor4,1
#wor4,#pla71,1
#org0,#org1,0
#org0,#org10,0
#org0,#org11,0
#org0,#org12,0
#org0,#org13,0
#org0,#org14,0
#org0,#org15,0
#org0,#org16,0
#org0,#org17,0
#org0,#org18,0
#org0,#org19,0
#org0,#org2,0
#org0,#org20,0
#org0,#org21,0
#org0,#org22,0
#org0,#org23,0
#org0,#org24,0
#org0,#org25,0
#org0,#org26,0
#org0,#org27,0
#org0,#org28,0
#org0,#org29,0
#org0,#org30,0
#org0,#org31,0
#org0,#org32,0
#org0,#org33,0
#org0,#org34,0
#org0,#org35,0
#org0,#org38,0
#org0,#org39,0
#org0,#org40,0
#org0,#org41,0
#org0,#org42,0
#org0,#org43,0
#org0,#org44,0
#org0,#org45,0
#org0,#org46,0
#org0,#org47,0
#org0,#org48,0
#org0,#org49,0
#org0,#org5,0
#org0,#org50,0
#org0,#org51,0
#org0,#org52,0
#org0,#org53,0
#org0,#org54,0
#org0,#org55,0
#org0,#org56,0
#org0,#org57,0
#org0,#org58,0
#org0,#org59,0
#org0,#org60,0
#org0,#org61,0
#org0,#org62,0
#org0,#org63,0
#org0,#org64,0
#org0,#org65,0
#org0,#org66,0
#org0,#org7,0
#org0,#org9,0
#org0,#pla1,0
#org0,#pla10,0
#org0,#pla100,0
#org0,#pla101,0
#org0,#pla102,0
#org0,#pla103,0
#org0,#pla104,0
#org0,#pla105,0
#org0,#pla106,0
#org0,#pla107,0
#org0,#pla108,0
#org0,#pla109,0
#org0,#pla11,0
#org0,#pla110,0
#org0,#pla111,0
#org0,#pla112,0
#org0,#pla113,0
#org0,#pla114,0
#org0,#pla115,0
#org0,#pla116,0
#org0,#pla117,0
#org0,#pla118,0
#org0,#pla119,0
#org0,#pla12,0
#org0,#pla120,0
#org0,#pla121,0
#org0,#pla13,0
#org0,#pla14,0
#org0,#pla15,0
#org0,#pla16,0
#org0,#pla17,0
#org0,#pla19,0
#org0,#pla2,0
#org0,#pla20,0
#org0,#pla21,0
#org0,#pla22,0
#org0,#pla23,0
#org0,#pla24,0
#org0,#pla25,0
#org0,#pla26,0
#org0,#pla27,0
#org0,#pla28,0
#org0,#pla29,0
#org0,#pla3,0
#org0,#pla30,0
#org0,#pla31,0
#org0,#pla32,0
#org0,#pla33,0
#org0,#pla34,0
#org0,#pla35,0
#org0,#pla36,0
#org0,#pla37,0
#org0,#pla38,0
#org0,#pla39,0
#org0,#pla4,0
#org0,#pla40,0
#org0,#pla41,0
#org0,#pla42,0
#org0,#pla43,0
#org0,#pla44,0
