	weight	source	target
163	31	#per462	#per93
171	29	#per463	#per93
228	15	#per462	#per463
100	15	#org96	#per462
95	13	#per14	#per93
210	11	#org96	#per93
34	11	#per464	#per93
157	9	#per14	#per463
160	8	#per463	#per466
126	8	#per463	#pla1
217	8	#per462	#per467
214	8	#per14	#per462
41	8	#org25	#per462
16	8	#per463	#per464
31	8	#org13	#per93
138	7	#org13	#per462
184	7	#per463	#per465
191	6	#per463	#per469
21	6	#per463	#pla149
209	6	#per466	#per469
145	6	#org13	#per463
14	6	#per272	#pla149
168	5	#per465	#per466
159	5	#org13	#per14
63	5	#per462	#pla1
97	5	#org96	#per463
92	5	#per272	#per463
73	5	#per465	#per469
30	5	#org13	#org25
185	5	#per93	#pla149
201	4	#org25	#per467
65	4	#per93	#pla1
224	4	#per462	#per466
22	4	#per14	#per464
87	4	#per466	#per93
192	4	#per462	#per465
77	4	#org25	#per93
45	4	#per14	#pla1
167	3	#per465	#pla149
51	3	#per463	#per467
20	3	#pla149	#pla5
190	3	#org25	#per463
90	3	#org25	#per466
85	3	#per466	#pla149
19	3	#per463	#per92
146	3	#per272	#pla1
4	3	#per272	#per465
76	3	#per272	#per93
128	3	#org13	#per466
113	3	#org13	#per92
170	3	#per14	#pla4
220	3	#pla1	#pla149
183	3	#per462	#pla149
161	2	#per464	#pla149
99	2	#per463	#pla5
2	2	#org25	#per14
84	2	#per469	#pla149
149	2	#per466	#pla5
40	2	#per469	#pla5
182	2	#per462	#pla4
189	2	#per272	#per462
78	2	#per94	#per95
204	2	#per93	#pla4
156	2	#per465	#pla1
17	2	#per272	#pla5
211	2	#org13	#pla149
180	2	#per272	#per466
33	2	#org13	#pla4
12	2	#pla1	#pla5
175	2	#per35	#per94
79	2	#per	#per463
54	2	#per465	#per467
107	2	#per462	#per94
130	2	#per35	#per95
75	2	#per92	#per93
215	2	#per463	#per94
143	2	#per466	#per467
47	2	#per	#per93
56	2	#org25	#per465
134	2	#org13	#per467
5	2	#per465	#pla5
125	2	#per93	#pla5
74	2	#per466	#pla1
122	2	#per272	#per469
120	2	#per467	#per93
72	2	#per	#per462
46	2	#per469	#pla1
221	2	#org25	#pla1
18	1	#per463	#per95
83	1	#per135	#pla1
26	1	#org22	#per16
25	1	#org95	#per469
24	1	#per465	#pla41
68	1	#per6	#per93
1	1	#org96	#per272
86	1	#per468	#per88
13	1	#org97	#per14
3	1	#org97	#per93
66	1	#org13	#per95
82	1	#per462	#per469
71	1	#per462	#per90
81	1	#per135	#pla4
67	1	#org13	#per469
27	1	#per468	#per7
80	1	#per467	#pla149
28	1	#per14	#pla149
69	1	#org39	#per14
70	1	#org25	#per135
32	1	#per16	#pla4
15	1	#per464	#pla5
29	1	#per16	#pla1
8	1	#org25	#pla5
43	1	#org95	#pla5
11	1	#org39	#per7
0	1	#per6	#per7
123	1	#org95	#per272
103	1	#per88	#per89
118	1	#per6	#pla5
105	1	#org22	#org25
108	1	#org25	#org39
109	1	#org22	#pla1
110	1	#org22	#pla4
111	1	#org81	#per93
112	1	#per16	#per462
227	1	#per467	#per469
115	1	#per16	#per93
116	1	#org25	#per272
106	1	#org95	#per463
152	1	#per14	#per466
153	1	#per16	#pla150
154	1	#org13	#pla150
198	1	#org13	#pla1
199	1	#pla149	#pla41
200	1	#pla1	#pla150
202	1	#per272	#pla41
203	1	#per135	#per93
205	1	#org13	#per16
206	1	#per463	#pla4
207	1	#pla1	#pla4
197	1	#org39	#per462
208	1	#per272	#per467
213	1	#pla150	#pla4
104	1	#per462	#pla5
102	1	#per135	#per16
48	1	#per466	#per92
101	1	#org13	#per465
124	1	#org39	#pla5
127	1	#org96	#pla149
129	1	#org97	#pla5
131	1	#per464	#per469
132	1	#per468	#per87
133	1	#per14	#per7
135	1	#per88	#per90
121	1	#org95	#pla149
136	1	#per14	#per92
139	1	#org95	#per465
140	1	#per469	#pla41
141	1	#per469	#per93
142	1	#org97	#per6
144	1	#per462	#per92
147	1	#org25	#per16
148	1	#org13	#org22
150	1	#org25	#org97
137	1	#org22	#per462
151	1	#per14	#per469
119	1	#org22	#per14
117	1	#per	#per14
93	1	#org13	#per135
94	1	#per14	#pla5
96	1	#per14	#per16
98	1	#per92	#pla4
216	1	#per90	#per94
218	1	#org25	#per7
219	1	#org13	#per94
222	1	#per14	#per6
114	1	#org13	#per35
23	1	#org97	#per7
44	1	#per89	#per90
64	1	#org96	#per465
36	1	#per14	#pla150
37	1	#org25	#pla150
62	1	#per464	#pla1
38	1	#pla1	#pla41
6	1	#per7	#pla5
61	1	#per93	#per94
60	1	#per462	#per7
39	1	#per135	#pla150
59	1	#org95	#pla41
58	1	#org13	#org97
35	1	#org13	#per6
57	1	#per93	#pla150
55	1	#per462	#pla150
10	1	#org39	#per6
7	1	#per462	#per6
53	1	#org25	#per6
52	1	#org97	#per462
88	1	#per87	#per88
50	1	#per272	#per464
49	1	#org39	#org97
9	1	#org96	#pla1
89	1	#per7	#per93
91	1	#org13	#org39
193	1	#org96	#per14
165	1	#per14	#per272
223	1	#org25	#pla4
225	1	#per14	#per94
226	1	#per92	#pla149
212	1	#pla41	#pla5
196	1	#org13	#per7
195	1	#org95	#pla1
194	1	#org39	#per93
155	1	#org22	#pla150
158	1	#per35	#per463
162	1	#org81	#per464
164	1	#org13	#per272
166	1	#org81	#per463
188	1	#org13	#pla5
169	1	#per466	#pla41
172	1	#org13	#per464
173	1	#org25	#pla149
174	1	#org95	#per466
176	1	#per467	#pla1
177	1	#per464	#per466
