	Source	Target	Via	Weight	Type	book
42	#per1	#org3	oral	395	Directed	MAT
50	#per1	#org0	oral	92	Directed	MAT
54	#per1	#org2	oral	57	Directed	MAT
28	#per0	#per0	oral	29	Directed	MAT
78	#per1	#per21	oral	25	Directed	MAT
33	#org3	#per1	oral	22	Directed	MAT
53	#per1	#org12	oral	21	Directed	MAT
25	#org0	#org0	oral	13	Directed	MAT
24	#per0	#org0	oral	12	Directed	MAT
75	#per1	#per0	oral	11	Directed	MAT
45	#per21	#per1	oral	11	Directed	MAT
69	#per0	#per1	oral	10	Directed	MAT
65	#org2	#per1	oral	9	Directed	MAT
3	#per1	#org15	oral	8	Directed	MAT
91	#per1	#per14	prayer	6	Directed	MAT
94	#per18	#org2	oral	6	Directed	MAT
70	#per1	#org27	oral	6	Directed	MAT
71	#per50	#org13	oral	5	Directed	MAT
26	#per1	#per14	idea	5	Directed	MAT
81	#org12	#per1	oral	5	Directed	MAT
95	#per1	#org18	idea	5	Directed	MAT
44	#org7	#per1	oral	5	Directed	MAT
12	#org15	#per1	oral	4	Directed	MAT
98	#org13	#per50	oral	4	Directed	MAT
82	#org4	#per12	dream	4	Directed	MAT
67	#per1	#per20	oral	4	Directed	MAT
48	#per1	#org5	oral	4	Directed	MAT
73	#per21	#org0	oral	4	Directed	MAT
49	#per48	#per1	oral	4	Directed	MAT
41	#org12	#org12	oral	4	Directed	MAT
63	#per1	#org7	oral	4	Directed	MAT
21	#org4	#per58	oral	3	Directed	MAT
18	#per34	#org12	oral	3	Directed	MAT
52	#per0	#per21	oral	3	Directed	MAT
80	#org0	#per1	oral	3	Directed	MAT
59	#per20	#per1	oral	3	Directed	MAT
55	#org5	#per1	oral	3	Directed	MAT
77	#org5	#org0	soCalled	3	Directed	MAT
64	#org18	#per1	idea	3	Directed	MAT
43	#per1	#org0	soCalled	2	Directed	MAT
38	#per1	#per58	oral	2	Directed	MAT
46	#per57	#per1	oral	2	Directed	MAT
19	#org12	#org0	oral	2	Directed	MAT
1	#org2	#per50	oral	2	Directed	MAT
32	#per1	#per34	oral	2	Directed	MAT
34	#org3	#org0	idea	2	Directed	MAT
39	#org3	#per58	oral	2	Directed	MAT
0	#org12	#org24	oral	2	Directed	MAT
74	#per50	#per1	oral	2	Directed	MAT
97	#org2	#org0	oral	2	Directed	MAT
57	#per34	#per1	oral	2	Directed	MAT
7	#pla3	#org0	oral	2	Directed	MAT
58	#org5	#per10	oral	2	Directed	MAT
79	#per1	#per41	oral	2	Directed	MAT
72	#per14	#org18	idea	2	Directed	MAT
8	#org6	#per1	oral	2	Directed	MAT
66	#per14	#org0	oral	2	Directed	MAT
60	#per1	#per57	oral	2	Directed	MAT
86	#org2	#org0	soCalled	2	Directed	MAT
93	#org25	#org25	oral	2	Directed	MAT
16	#org10	#per10	oral	1	Directed	MAT
17	#per3	#per1	oral	1	Directed	MAT
56	#org3	#org0	oral	1	Directed	MAT
20	#org24	#per1	oral	1	Directed	MAT
47	#per23	#per1	oral	1	Directed	MAT
22	#per38	#per10	oral	1	Directed	MAT
61	#org12	#per34	oral	1	Directed	MAT
62	#org1	#per48	oral	1	Directed	MAT
13	#org8	#pla1	written	1	Directed	MAT
31	#per52	#per50	oral	1	Directed	MAT
15	#per1	#per48	oral	1	Directed	MAT
14	#per1	#per18	oral	1	Directed	MAT
68	#org3	#org3	oral	1	Directed	MAT
76	#per25	#per10	oral	1	Directed	MAT
23	#per1	#per23	oral	1	Directed	MAT
11	#per0	#org0	idea	1	Directed	MAT
27	#per1	#org6	oral	1	Directed	MAT
10	#per1	#org19	idea	1	Directed	MAT
40	#per10	#org26	oral	1	Directed	MAT
4	#org2	#org3	oral	1	Directed	MAT
9	#org4	#org0	idea	1	Directed	MAT
51	#per18	#per1	oral	1	Directed	MAT
37	#per57	#per0	oral	1	Directed	MAT
36	#org0	#per21	oral	1	Directed	MAT
35	#per50	#org2	oral	1	Directed	MAT
6	#org25	#org15	oral	1	Directed	MAT
83	#per10	#org10	oral	1	Directed	MAT
84	#org1	#per1	oral	1	Directed	MAT
85	#org0	#org12	oral	1	Directed	MAT
87	#org27	#per1	oral	1	Directed	MAT
88	#per1	#org12	idea	1	Directed	MAT
89	#per41	#per1	oral	1	Directed	MAT
90	#per18	#org0	oral	1	Directed	MAT
5	#per1	#per1	oral	1	Directed	MAT
92	#org5	#org5	oral	1	Directed	MAT
29	#org24	#org0	oral	1	Directed	MAT
2	#per1	#per27	oral	1	Directed	MAT
96	#per1	#per50	oral	1	Directed	MAT
30	#org19	#per1	idea	1	Directed	MAT
