id	label	timeset	normalizedname-sp	aclaration	variants	comments	book	cert	gender	normalizedname-ge	normalizedname-po	type	nature	definition	importance	order-edition	degree	weighted degree	eccentricity	closnesscentrality	harmonicclosnesscentrality	betweenesscentrality	modularity_class	indegree	outdegree	weighted indegree	weighted outdegree	componentnumber
"#org69"	#org69		amalecitas									group	human	defined		GEN	7	17.0	4.0	0.44385026737967914	0.4889558232931726	0.3666666666666667	2	1	6	1.0	16.0	1
"#org70"	#org70		hebreos		Israel							group	human	defined		GEN	74	1431.0	4.0	0.5899280575539568	0.7317073170731709	849.4103174603171	2	31	43	253.0	1178.0	1
"#org74"	#org74		heteos									group	human	defined		GEN	12	53.0	4.0	0.4267515923566879	0.46517412935323366	1.0	0	9	3	38.0	15.0	1
"#org81"	#org81		moabitas									group	human	defined		GEN	6	6.0	4.0	0.4	0.4382716049382716	0.0	0	4	2	4.0	2.0	1
"#org88"	#org88		hijos de Jacob									group	human	defined		GEN	18	78.0	4.0	0.4647887323943662	0.5176767676767675	44.5	0	11	7	17.0	61.0	1
"#org91"	#org91		tribu de Dan									group	human	defined		GEN	6	13.0	4.0	0.4304635761589404	0.4794871794871793	0.0	2	1	5	1.0	12.0	1
"#org95"	#org95		jueces	de Israel								group	human	defined		RUT	8	25.0	4.0	0.42483660130718953	0.4641025641025639	0.5277777777777778	2	5	3	11.0	14.0	1
"#org100"	#org100		reyes y responsables en general									group	human	undefined		SAL	9	13.0	4.0	0.441747572815534	0.49542124542124527	0.0	2	0	9	0.0	13.0	1
"#org101"	#org101		enemigos									group	human	undefined		SAL	9	24.0	4.0	0.4567307692307692	0.5026315789473684	0.3333333333333333	2	1	8	2.0	22.0	1
"#org102"	#org102		pobres	presos								group	human	undefined		SAL	11	32.0	4.0	0.4433497536945813	0.49722222222222207	1.95	2	2	9	2.0	30.0	1
"#org103"	#org103		dioses	otros dioses								group	superior	undefined		SAL	12	57.0	4.0	0.46116504854368934	0.5166666666666666	1.011111111111111	2	1	11	1.0	56.0	1
"#org104"	#org104		descendientes de David									group	human	defined		SAL	5	5.0	4.0	0.4407894736842105	0.4875621890547262	0.0	0	0	5	0.0	5.0	1
"#org122"	#org122		mujeres									group	human	defined		ACT	10	49.0	4.0	0.45161290322580644	0.5029761904761905	2.1666666666666665	2	2	8	3.0	46.0	1
"#org125"	#org125		descendientes de Esaú									group	human	defined		MAL	4	4.0	4.0	0.41919191919191917	0.4588353413654617	0.0	2	0	4	0.0	4.0	1
"#org126"	#org126		edomitas									group	human	defined		MAL	4	4.0	4.0	0.41708542713567837	0.45281124497991954	0.0	2	1	3	1.0	3.0	1
"#org127"	#org127		cuñadas de Moisés									group	human	defined		EXO	2	6.0	4.0	0.4	0.4382716049382716	0.0	2	0	2	0.0	6.0	1
"#org129"	#org129		coreítas	hijos de Coré								group	human	defined			4	4.0	2.0	0.75	0.8333333333333334	0.0	0	0	4	0.0	4.0	1
"#org130"	#org130		primogénitos									group	human	defined			6	18.0	4.0	0.43	0.4718992248062014	0.0	2	1	5	1.0	17.0	1
"#org131"	#org131		esclavos		siervos							group	human	defined			5	42.0	4.0	0.4292929292929293	0.47156862745098027	0.0	2	0	5	0.0	42.0	1
"#org132"	#org132		hijos de Aarón									group	human	defined			9	96.0	4.0	0.4486486486486487	0.5010040160642569	0.8	2	1	8	1.0	95.0	1
