	weight	source	target	Type
689	1	#per120	#per121	Undirected
690	1	#org65	#pla255	Undirected
692	1	#per500	#per601	Undirected
693	1	#per426	#per589	Undirected
697	1	#per215	#per349	Undirected
701	1	#org45	#per124	Undirected
703	1	#org65	#per580	Undirected
705	1	#per593	#per606	Undirected
710	1	#org25	#org54	Undirected
652	1	#per26	#per619	Undirected
665	1	#per4	#per423	Undirected
675	1	#org46	#per592	Undirected
673	1	#per607	#per608	Undirected
654	1	#per596	#per598	Undirected
656	1	#org46	#pla73	Undirected
657	1	#org14	#pla84	Undirected
659	1	#org70	#tim19	Undirected
660	1	#org74	#org88	Undirected
661	1	#org70	#pla251	Undirected
663	1	#org122	#org65	Undirected
664	1	#per14	#per605	Undirected
29	1	#pla263	#pla73	Undirected
