id	string	freq	number	low_string	string_len	type
#pla41	tierra	5	0	tierra	6	pla
#per144	Sem	4	0	sem	3	per
#per210	Joctán	3	0	joctán	6	per
#per168	Heber	3	0	heber	5	per
#per162	Jafet	3	0	jafet	5	per
#per324	Cus	3	0	cus	3	per
#per158	Cam	3	0	cam	3	per
#pla20	Nínive	2	0	nínive	6	pla
#per269	Raama	2	0	raama	5	per
#per233 #per314 #per177 #per330 #per454	hijos de  Sem	2	4	hijos de  sem	13	per
#per242	Gomer	2	0	gomer	5	per
#per454	Aram	2	0	aram	4	per
#per435	Seba	2	0	seba	4	per
#per177	Arfaxad	2	0	arfaxad	7	per
#org63	cananeos	2	0	cananeos	8	org
#pla99	Cala	2	0	cala	4	pla
#per14	Jehová	2	0	jehová	6	per
#per420	Canaán	2	0	canaán	6	per
#per257	Nimrod	2	0	nimrod	6	per
#per253	Mizraim	2	0	mizraim	7	per
#per324 #per253 #per315 #per420	hijos de  Cam	2	3	hijos de  cam	13	per
#per264	Javán	2	0	javán	5	per
#per176	Sala	2	0	sala	4	per
#per47	Noé	2	0	noé	3	per
#per257	vigoroso cazador delante de  Jehová	2	0	vigoroso cazador delante de  jehová	35	per
#per257	primer poderoso en la  tierra	1	0	primer poderoso en la  tierra	29	per
#pla105	Mesa	1	0	mesa	4	pla
#per401	Patrusim	1	0	patrusim	8	per
#per393	Sabteca	1	0	sabteca	7	per
#org53	filisteos	1	0	filisteos	9	org
#pla96	Calne	1	0	calne	5	pla
#per386	Uzal	1	0	uzal	4	per
#org61	zemareo	1	0	zemareo	7	org
#pla79	Babel	1	0	babel	5	pla
#per388	Havila	1	0	havila	6	per
#per247	Adoram	1	0	adoram	6	per
#org62	hamateo	1	0	hamateo	7	org
#pla98	Rehobot	1	0	rehobot	7	pla
#per319	Selef	1	0	selef	5	per
#per347	Dicla	1	0	dicla	5	per
#per233 #per314 #per177 #per330 #per454	hijos a  Sem	1	4	hijos a  sem	12	per
#per444	Dedán	1	0	dedán	5	per
#per233	Elam	1	0	elam	4	per
#pla104	Lasa	1	0	lasa	4	pla
#per369	Hul	1	0	hul	3	per
#org55	amorreo	1	0	amorreo	7	org
#per144 #per158 #per162	hijos de  Noé	1	2	hijos de  noé	13	per
#pla95	Acad	1	0	acad	4	pla
#per442	Seba	1	0	seba	4	per
#per291	Togarma	1	0	togarma	7	per
