source	target	type
#per14	#org0	undirected
#per14	#org0	undirected
#per14	#org0	undirected
#per14	#org0	undirected
#per14	#org0	undirected
#per14	#org0	undirected
#per14	#org0	undirected
#per14	#org0	undirected
#per14	#org0	undirected
#per14	#org0	undirected
#per14	#org0	undirected
#per14	#org0	undirected
#per14	#org0	undirected
#per14	#org0	undirected
#per14	#org0	undirected
#per14	#per145	undirected
#per14	#per241	undirected
#per14	#per145	undirected
#per14	#per241	undirected
#per14	#per145	undirected
#per14	#per241	undirected
#per14	#per145	undirected
#per14	#per145	undirected
#per14	#per14	undirected
#per14	#per241	undirected
#per14	#per145	undirected
#per14	#per241	undirected
#per14	#per145	undirected
#per14	#per145	undirected
#per14	#per145	undirected
#per14	#per241	undirected
#per14	#per20	undirected
#per14	#per20	undirected
#per14	#per241	undirected
#per14	#per145	undirected
#per14	#per145	undirected
#per14	#per145	undirected
#per14	#per145	undirected
#per14	#per14	undirected
#per14	#per142	undirected
#per14	#per142	undirected
#per14	#per142	undirected
#per14	#per142	undirected
#per14	#per142	undirected
#per14	#per142	undirected
#per14	#per142	undirected
#per14	#per14	undirected
#per14	#per14	undirected
#per14	#per47	undirected
#per14	#per47	undirected
#per14	#per47	undirected
#per14	#per47	undirected
#per14	#per47	undirected
#per14	#per47	undirected
#per14	#per47	undirected
#per14	#per47	undirected
#per14	#per47	undirected
#per14	#per47	undirected
#per14	#per47	undirected
#per14	#per47	undirected
#per14	#per47	undirected
#per14	#per47	undirected
#per14	#per47	undirected
#per14	#per14	undirected
#per14	#per14	undirected
#per14	#per144	undirected
#per14	#per158	undirected
#per14	#per162	undirected
#per14	#per47	undirected
#per14	#per144	undirected
#per14	#per158	undirected
#per14	#per162	undirected
#per14	#per47	undirected
#per14	#per144	undirected
#per14	#per158	undirected
#per14	#per162	undirected
#per14	#per47	undirected
#per14	#per144	undirected
#per14	#per158	undirected
#per14	#per162	undirected
#per14	#per47	undirected
#per14	#per144	undirected
#per14	#per158	undirected
#per14	#per162	undirected
#per14	#per47	undirected
#per14	#per144	undirected
#per14	#per158	undirected
#per14	#per162	undirected
#per14	#per47	undirected
#per14	#per144	undirected
#per14	#per158	undirected
#per14	#per162	undirected
#per14	#per47	undirected
#per14	#per144	undirected
#per14	#per158	undirected
#per14	#per162	undirected
#per14	#per47	undirected
#per14	#per144	undirected
#per14	#per158	undirected
#per14	#per162	undirected
#per14	#per47	undirected
#per14	#per144	undirected
#per14	#per158	undirected
#per14	#per162	undirected
#per14	#per47	undirected
#per14	#per144	undirected
#per14	#per158	undirected
#per14	#per162	undirected
#per14	#per47	undirected
#per14	#per144	undirected
#per14	#per158	undirected
#per14	#per162	undirected
#per14	#per47	undirected
#per14	#per144	undirected
#per14	#per158	undirected
#per14	#per162	undirected
#per14	#per47	undirected
#per14	#per144	undirected
#per14	#per158	undirected
#per14	#per162	undirected
#per14	#per47	undirected
#per14	#per144	undirected
#per14	#per158	undirected
#per14	#per162	undirected
#per14	#per47	undirected
#per14	#per47	undirected
#per14	#per14	undirected
#per14	#per14	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
