	GEN	EXO	LEV	NUM	DEU	JOS	JDG	RUT	1SA	2SA	1KI	2KI	EZR	NEH	EST	JOB	PSA	PRO	ECC	ISA	JER	LAM	EZE	DAN	HOS	JOE	AMO	OBA	JON	MIC	NAH	HAB	ZEP	HAG	ZEC	MAL	MAT	MAR	JOH	ACT	ROM	1CO	2CO	GAL	EPH	PHI	COL	1TH	2TH	1TI	2TI	TIT	PHM	HEB	JAM	1PE	2PE	1JO	2JO	3JO	JUD	REV
#per49																																					31.76233,35.25164	31.76233,35.25164																								
#per50																																								31.40718,35.03266																						
#per51																																																														
#per52																																																														
#per53																																							32.19004,35.24772																							
#per54																																					32.80345,21.86282	32.80345,21.86282																								
#per55																																																														
#per56																																																														
#per57																																					31.96319,35.21246																									
#per58																																					32.82443,35.588	32.82443,35.588																								
#per59																																					32.82443,35.588	32.82443,35.588																								
#per60																																																														
#per61																																																														
#per62																																					32.36382,35.39577																									
#per63											31.24725,34.58879																																																			
#per64											31.04605,34.85161																																																			
#per65											32.58604,35.65255	31.04605,34.85161																																																		
#per66											33.65498,34.02365	31.47463,35.02758																																																		
#per67												32.04006,35.87408																																																		
#per68																									31.47463,35.02758																																					
#per69												31.57253,35.08962								33.84451,34.87096					31.47463,35.02758					32.03147,35.23999																																
#per70												33.09277,36.84895								32.88206,36.19866					31.47463,35.02758		30.68064,35.10474			32.03147,35.23999																																
#per71												30.71176,36.65597						31.90322,35.20354							31.47463,35.02758					32.03147,35.23999																																
#per72	29.97405,33.64788			32.26793,35.6639		31.99087,35.6861																																																								
#per73					32.28692,35.58853	31.90141,35.55134	32.02059,35.71722		31.04605,34.85161	31.54655,35.01764		31.57253,35.08962									31.90322,35.20354		31.9459,35.17513	31.11607,35.2448									31.90322,35.20354																													
#per74												32.25205,36.34619																					31.90322,35.20354																													
#per75															32.07111,38.28296																																															
#per76																																		32.54494,35.41135																												
#per77																																		30.73912,34.1192																												
#per78																																																														
#per79																																																														
#per80																																																														
#per81																							32.11636,35.23539																																							
#per82																																																														
#per83																																																														
#per84									28.9333,32.82706																																																					
#per85																																																														
#per86																																																														
