	GEN	EXO	LEV	NUM	DEU	JOS	JDG	RUT	1SA	2SA	1KI	2KI	EZR	NEH	EST	JOB	PSA	PRO	ECC	ISA	JER	LAM	EZE	DAN	HOS	JOE	AMO	OBA	JON	MIC	NAH	HAB	ZEP	HAG	ZEC	MAL	MAT	MAR	JOH	ACT	ROM	1CO	2CO	GAL	EPH	PHI	COL	1TH	2TH	1TI	2TI	TIT	PHM	HEB	JAM	1PE	2PE	1JO	2JO	3JO	JUD	REV
#per576																																		32.54494,35.41135																												
#per577													32.44478,39.8217											32.16556,44.44579										31.90322,35.20354																												
#per578		28.81123,31.32035																																																												
#per579		26.82055,30.8025																																																												
#per580		26.82055,30.8025																																																												
#per581																																																														
#per582				26.82055,30.8025																																																										
#per583		29.2911,33.9717					31.30865,35.03964																																																							
#per584		28.60685,32.93417																																																												
#per585		28.00815,33.99375			26.82055,30.8025				26.82055,30.8025			29.92327,33.61922		26.82055,30.8025			20.28023,38.51257																																					26.82055,30.8025								
#per586																																																														
#per587																																																														
#per588																																																														
#per589						31.65044,35.15677																																																								
#per590			33.18667,35.61917																																																											
#per591																																																														
#per592																																																														
#per593																																																														
#per594																																																														
#per595																																																														
#per596			33.18667,35.61917																																																											
#per597			33.18667,35.61917																																																											
#per598																																																														
#per599																																																														
#per600																																																														
#per601																																																														
#per602				29.5,34.0																																																										
#per603				29.5,34.0																																																										
#per604			32.11636,35.23539	30.67162,34.7798		31.8941,35.46621	31.78981,35.1649																																																							
#per605			32.11636,35.23539	29.5,34.0																																																										
#per606																																																														
#per607																																																														
#per608																																																														
#per609																																																														
#per610						31.87102,35.49144																																																								
#per611																																																														
#per612				30.62903,32.62	26.82055,30.8025																									26.82055,30.8025																																
#per613											32.05556,35.28953																																																			
#per614		28.60685,32.93417																																																												
#per615																																																														
#per616											32.51774,35.88899																																																			
#per617																																																														
#per618																																																														
#per619				30.77778,34.64476	31.04605,34.85161	31.7546,35.22311					31.90135,35.34225			31.04605,34.85161																																																
#per620																														31.04605,34.85161																																
#per621																																																														
#per622																																																														
#per623																																			32.54178,44.43164																											
#per624																																			32.86422,40.02541																											
#per625																																			32.86422,40.02541																											
#per626																					31.66207,37.65606														32.54178,44.43164																											
#per627																																	30.70048,35.36792		32.86422,40.02541																											
#per628																																			33.18667,35.61917																											
#per629																																			33.18667,35.61917																											
#per630																																			31.9416,35.22273																											
#per631																																			31.9416,35.22273																											
#per632																																			31.76832,35.21371																											
#per633																																			31.76832,35.21371																											
#per634												31.79071,35.11929								32.91507,36.25831							31.90322,35.20354								31.90322,35.20354																											
#per635																					32.24222,35.35383									32.01238,36.23788																																
#per636																														31.04605,34.85161																																
#per637																														31.04605,34.85161																																
#per638				29.66427,34.45596			31.33379,35.31482																							32.1725,35.5219																																31.04605,34.85161
#per639				30.73675,35.93455	30.67715,37.14312	31.04605,34.85161								31.04605,34.85161																32.1725,35.5219																																31.04605,34.85161
#per640				28.57941,35.76646		31.04605,34.85161																								32.1725,35.5219																																
#per641																																																														
#per642											32.68348,33.9147	32.34166,35.90616									32.54178,44.43164																																									
#per643																															30.20959,33.67466																															
#per644																																31.8736,35.7493																														
#per645																																																														
#per646																																	31.90322,35.20354																													
#per647																																	31.90322,35.20354																													
#per648																																	31.90322,35.20354																													
#per649																																	31.90322,35.20354																													
#per650											32.21853,35.25783	31.98357,35.23338									32.03147,35.23999				31.5508,35.07057								31.83577,35.20862																													
#per651																																																														
#per652									32.01296,35.16938																																																					
#per653									31.04605,34.85161	31.47463,35.02758																																																				
#per654									30.71485,34.07766		32.0557,35.28954																																																			
#per655									31.55088,35.07057																																																					
#per656							31.66667,34.56667		31.35636,34.70914																																																					
#per657									31.37289,34.84928																																																					
#per658																																																														
#per659									31.75227,35.3054	31.64777,35.29503																																																				
#per660									31.04605,34.85161	31.34338,35.16553	31.47463,35.02758																																																			
#per661									31.42657,35.31332																																																					
#per662									31.5047,34.97076																																																					
#per663									31.40595,34.8689		31.69972,34.84694																																																			
#per664										33.37578,32.20407																																																				
#per665									32.34946,35.31535																																																					
#per666									32.05556,35.28953																																																					
#per667									32.05556,35.28953																																																					
#per668									32.05556,35.28953																																																					
#per669									32.05556,35.28953																																																					
#per670																																																														
#per671									31.55088,35.07057																																																					
#per672									31.04605,34.85161																																																					
#per673									31.04605,34.85161																																																					
#per674									31.04605,34.85161																																																					
#per675									30.81561,35.54501																																																					
#per676																																																														
#per677					32.34977,35.85361		32.75668,36.24985		31.04605,34.85161																																																					
#per678									31.25889,34.79778																																																					
#per679									31.25889,34.79778																																																					
#per680																																																														
#per681																																																														
#per682																																																														
#per683																																																														
#per684									31.04605,34.85161																																																					
#per685									31.57675,35.3601	31.82527,34.98761																																																				
#per686									31.69972,34.84694																																																					
#per687																																																														
#per688																																																														
#per689																																																														
#per690							31.05111,35.4451																																																							
#per691							30.38498,35.18607																																																							
#per692									32.0557,35.28954																																																					
#per693									31.92255,35.27059																																																					
#per694									32.0557,35.28954																																																					
#per695									30.81561,35.54501																																																					
#per696																																																														
#per697																																																														
#per698																																																														
#per699										31.04605,34.85161	31.47463,35.02758																																																			
#per700																																																														
#per701																																																														
#per702																																																														
#per703									31.78939,35.25165																																																					
#per704									31.78939,35.25165																																																					
#per705																																																														
#per706										31.32569,35.37682	32.0557,35.28954																																																			
#per707									31.37289,34.84928																																																					
#per708				30.77778,34.64476		31.20703,34.94974	31.18029,34.95919		31.30865,35.03964																																																					
#per709																																																														
#per710									31.69972,34.84694	31.53257,35.09983																																																				
#per711																																																														
#per712																																																														
#per713										31.428,35.05129	31.04605,34.85161																																																			
#per714										32.32547,34.32363	30.07889,33.99314																																																			
#per715										31.89658,35.68322																																																				
#per716										31.28931,34.97572																																																				
#per717										31.40718,35.03266																																																				
#per718										31.40718,35.03266																																																				
#per719										31.13318,35.43458																																																				
#per720										33.3476,37.14415																																																				
#per721										31.31431,35.17885	33.17115,35.24186																																																			
#per722										31.61898,35.15113																																																				
#per723										31.47463,35.02758	31.47463,35.02758																																																			
#per724										31.76951,35.39518																																																				
#per725										30.94496,34.33811	31.57253,35.08962																																																			
#per726										31.04605,34.85161																																																				
#per727										31.39292,35.47991																																																				
#per728										31.76832,35.21371																																																				
#per729										31.82304,35.23083																																																				
#per730																																																														
#per731										31.32569,35.37682	31.46075,35.36599																																																			
#per732																																																														
#per733										31.60932,35.14576																																																				
#per734										31.04605,34.85161																																																				
#per735																																																														
#per736																																																														
#per737																																																														
#per738																																																														
#per739											31.57253,35.08962																																																			
#per740																																																														
#per741																																																														
#per742																																																														
#per743										31.53257,35.09983																																																				
#per744										31.53257,35.09983																																																				
#per745										31.90322,35.20354																																																				
#per746																																																														
#per747										31.6778,35.16533																																																				
#per748										31.53257,35.09983																																																				
#per749																																																														
#per750										33.27049,35.20376	32.95023,32.36222																																																			
#per751										31.76832,35.21371																																																				
#per752										31.76832,35.21371																																																				
#per753																																																														
#per754																																																														
#per755																																																														
#per756																																																														
#per757																																																														
#per758																																																														
#per759																																																														
#per760																																																														
#per761																																																														
#per762																																																														
#per763																																																														
#per764										35.13333,36.75																																																				
#per765																																																														
#per766											32.71854,35.35192																																																			
#per767																																																														
#per768										31.32569,35.37682	31.57253,35.08962																																																			
#per769																																																														
#per770																																																														
#per771										31.04605,34.85161	31.47463,35.02758																																																			
#per772										31.04605,34.85161																																																				
#per773										31.82527,34.98761																																																				
#per774										31.82527,34.98761																																																				
#per775																																																														
#per776																																																														
#per777																																																														
#per778										33.16127,38.74026																																																				
#per779										31.47463,35.02758	31.04605,34.85161																																																			
#per780																																																														
#per781																																																														
#per782																																																														
#per783																																																														
#per784										31.04605,34.85161																																																				
#per785																																																														
#per786																																																														
#per787																																																														
#per788																																																														
#per789																																																														
#per790										31.76832,35.21371	33.02843,35.55394																																																			
#per791										31.76832,35.21371																																																				
#per792										31.24419,35.72098																																																				
#per793										31.04605,34.85161																																																				
#per794										31.04605,34.85161																																																				
#per795										31.82527,34.98761																																																				
#per796										31.04605,34.85161																																																				
#per797										31.70725,35.19235																																																				
#per798										31.76951,35.39518																																																				
#per799																																																														
#per800																																																														
#per801																																																														
#per802																																																														
#per803										31.37289,34.84928																																																				
#per804																																																														
#per805										31.69972,34.84694																																																				
#per806										31.70255,35.02469																																																				
#per807										31.70538,35.20244																																																				
#per808										31.70538,35.20244																																																				
#per809																																																														
#per810										31.04605,34.85161																																																				
#per811																																																														
#per812																																																														
#per813										31.04605,34.85161																																																				
#per814										31.37572,35.02703																																																				
#per815																																																														
#per816																																																														
#per817																																																														
#per818																																																														
#per819																																																														
#per820																																																														
#per821																																																														
#per822																																																														
#per823																																																														
#per824										31.82304,35.23083																																																				
#per825										31.82304,35.23083																																																				
#per826																																																														
#per827																																																														
#per828																																																														
#per829																																																														
#per830																																																														
#per831																																																														
#per832																																																														
#per833																																																														
#per834																																																														
#per835																																																														
#per836																																																														
#per837																																																														
#per838																																																														
#per839																																																														
#per840																																																														
#per841																																																														
#per842										31.04605,34.85161																																																				
#per843																																																														
#per844																																																														
#per845																19.86508,38.36404																																														
#per846																9.145,40.48967																																														
#per847																9.145,40.48967																																														
#per848																																																														
#per849																																																														
#per850																																																														
#per851																9.145,40.48967																																														
#per852																																																														
#per853																																																														
#per854																																																														
#per855																																																														
#per856																																																														
#per857																																																														
#per858																							35.17727,33.57235																																							
#per859																							31.58905,35.47484																																							
#per860																																																														
#per861												31.84975,36.41881	32.35,37.61702	32.07111,38.28296	32.07111,38.28296						32.55411,37.12406		30.87761,36.81264	32.08921,37.06393																																						
#per862																																																														
#per863																																																														
#per864																							33.18667,35.61917																																							
#per865												32.07111,38.28296																																																		
#per866																							32.11636,35.23539																																							
#per867																							32.54178,44.43164																																							
#per868																							31.04605,34.85161																																							
#per869																																																														
#per870																							32.11636,35.23539																																							
#per871																							32.11636,35.23539																																							
#per872																																																														
#per873																																																														
#per874																																																														
#per875																																																														
#per876																																																														
#per877																																																														
#per878																																																														
#per879																																																														
#per880																																																														
#per881																																																														
#per882																																																														
#per883																																																														
#per884																																																														
#per885																																																														
#per886																																																														
#per887																																																														
#per888																																																														
#per889																																																														
#per890																																																														
#per891																																																														
#per892																																																														
#per893																																																														
#per894																																																														
#per895																																																														
#per896																																																														
#per897																																																														
#per898																																																														
#per899																																																														
#per900																																																														
#per901																																																														
#per902																																																														
#per903																																																														
#per904																																																														
#per905																																																														
#per906																																																														
#per907																																											41.60864,21.74528	31.76832,35.21371							40.64006,22.94442											
#per908																																											33.51381,36.27653																			
#per909						31.52457,35.07162																																																								
#per910																																																														
#per911				30.28069,34.0169		31.71789,35.15168	31.53257,35.09983																																																							
#per912				29.68907,33.59269																																																										
#per913				29.68907,33.59269																																																										
#per914				29.68907,33.59269																																																										
#per915						31.07128,34.94267	31.07128,34.94267																																																							
#per916							32.92406,36.92421																																																							
#per917						31.60346,35.1723																																																								
#per918							31.04605,34.85161																																																							
#per919				32.269,35.8586	30.29841,34.67745	29.6467,35.55244	31.40878,35.32472										32.49179,35.59946																																													
#per920						32.51774,35.88899																																																								
#per921																																																														
#per922																																																														
#per923						28.11862,35.17337																																																								
#per924				32.51774,35.88899	31.59219,38.06998	29.52948,35.52149					32.51774,35.88899			31.9152,35.51961			32.49179,35.59946																																													
#per925						31.60346,35.1723																																																								
#per926				30.77778,34.64476		31.58371,35.15778																																																								
#per927																																																														
#per928																																																														
#per929																																																														
#per930																																																														
#per931				32.05556,35.28953																																																										
#per932																																																														
#per933						31.60346,35.1723																																																								
#per934																																																														
#per935																																																														
#per936																																																														
#per937																																																														
#per938						31.53257,35.09983																																																								
#per939				28.57941,35.76646			31.33379,35.31482																																																							
#per940						31.6111,35.16205																																																								
#per941						31.60346,35.1723																																																								
#per942						31.79406,35.19468																																																								
#per943						31.5486,35.08712																																																								
#per944						31.86111,35.46176																																																								
#per945						31.52457,35.07162																																																								
#per946						32.03136,35.20928																																																								
#per947						32.03136,35.20928	32.03942,35.23603																																																							
#per948																																																														
#per949						31.5486,35.08712																																																								
#per950																																																														
#per951																																						31.90322,35.20354																								
#per952																																																														
#per953																																						31.86111,35.46176																								
#per954																																						31.86111,35.46176																								
#per955																																						32.80345,21.86282																								
#per956																																						32.80345,21.86282																								
#per957																																						32.82443,35.588																								
#per958																																																														
#per959																																																														
#per960																																																														
#per961																								34.11428,36.58631																																						
#per962																																																														
#per963																																																														
#per964																																																														
#per965																																																														
#per966																																																														
#per967																								32.54178,44.43164																																						
#per968																					32.54178,44.43164			32.35,37.61702																																						
#per969													31.83577,35.20862		27.60028,42.58056																																															
#per970																								32.54178,44.43164																																						
#per971																								32.54178,44.43164																																						
#per972																								32.54178,44.43164																																						
#per973													32.66022,36.61475							32.47749,35.41644				32.42791,53.68805																																						
#per974																																																														
#per975																					31.91617,37.31658			32.49892,38.42151																																						
#per976																								32.54178,44.43164																																						
#per977																								31.04605,34.85161																																						
#per978																									31.97194,35.24845																																					
#per979																									31.47463,35.02758																																					
#per980																									31.47463,35.02758		31.63029,35.09263																																			
#per981																									31.47463,35.02758																																					
#per982																									31.04605,34.85161																																					
#per983																																																														
#per984																									31.04605,34.85161																																					
#per985																									31.04605,34.85161																																					
#per986																																																														
#per987																									31.04605,34.85161																																					
#per988																																																														
#per989																																																														
#per990							31.50064,34.80609																																																							
#per991							31.15609,35.0763																																																							
#per992							32.14558,35.23785																																																							
#per993							32.58476,35.41571																																																							
#per994							31.4796,34.82218																																																							
#per995							31.15012,35.58672										33.18667,35.61917																																													
#per996							31.18993,35.43008																																																							
#per997							31.49616,35.5359																																																							
#per998							31.82726,35.20466																				31.90322,35.20354																																			
#per999							32.21611,35.26611																																																							
#per1000							31.15012,35.58672										33.18667,35.61917																																													
#per1001							32.21611,35.26611																																																							
#per1002							29.58229,36.00244										33.18667,35.61917																																													
#per1003							33.01667,35.56694																																																							
#per1004							29.58229,36.00244										33.18667,35.61917			27.69998,33.28448																																										
#per1005							31.04605,34.85161				33.16127,38.74026	32.07018,35.24991																																																		
#per1006																																																														
#per1007							31.78981,35.1649																																																							
#per1008																																																														
#per1009							32.21611,35.26611																																																							
#per1010							32.38745,35.22833																																																							
#per1011							33.01667,35.56694																																																							
#per1012							31.04605,34.85161																																																							
#per1013							33.46063,39.11072																																																							
#per1014																																																														
#per1015							31.37572,35.02703																																																							
#per1016							31.38018,35.31407																																																							
#per1017							32.10744,35.86859																																																							
#per1018							31.76832,35.21371																																																							
#per1019							31.94005,35.16435																																																							
#per1020							31.04605,34.85161																																																							
#per1021							31.33379,35.31482																																																							
#per1022							31.26075,35.08196																																																							
#per1023																																																														
#per1024							32.00906,35.18979																																																							
#per1025							31.04605,34.85161																																																							
#per1026																																																														
#per1027							31.04605,34.85161																																																							
#per1028																																																														
#per1029							28.57941,35.76646				31.47463,35.02758																																																			
#per1030							31.63108,35.05886																																																							
#per1031							32.21611,35.26611																																																							
#per1032							31.71813,35.53402																																																							
#per1033							31.94005,35.16435																																																							
#per1034							31.94005,35.16435																																																							
#per1035							32.10744,35.86859																																																							
#per1036											31.76832,35.21371	31.40718,35.03266																																																		
#per1037							31.46559,35.03401																																																							
#per1038							31.91965,34.98435																																																							
#per1039							31.26075,35.08196																																																							
#per1040							31.4796,34.82218																																																							
#per1041																																																														
#per1042																																																														
#per1043							32.22616,35.3362																																																							
#per1044																												30.68064,35.10474																																		
#per1045																										31.81529,33.39071																																				
#per1046																																																														
#per1047																																																														
#per1048																																																														
#per1049																																																														
#per1050																																																														
#per1051																																																														
#per1052																																																			40.64006,22.94442											
#per1053													31.93933,38.81696	31.04605,34.85161																																																
#per1054														31.97606,35.22201																																																
#per1055													31.81955,38.46908	31.46559,35.03401																																																
#per1056													33.18667,35.61917	32.47749,35.41644																																																
#per1057														32.48824,35.39203																																																
#per1058														31.78512,35.1429																																																
#per1059														33.18667,35.61917							32.35,37.61702																																									
#per1060													31.04605,34.85161																																																	
#per1061													32.11636,35.23539	32.47749,35.41644																																																
#per1062														31.78981,35.1649																																																
#per1063																					33.18667,35.61917																																									
#per1064																																																														
#per1065														32.47749,35.41644																																																
#per1066																																																														
#per1067													31.04605,34.85161	32.02001,37.82846																																																
#per1068														31.76832,35.21371							32.34143,37.59977																																									
#per1069																					33.18667,35.61917																																									
#per1070																																																														
#per1071													32.42791,53.68805	31.04605,34.85161							29.68117,37.61707																																									
#per1072												32.11004,38.28387	33.18667,35.61917								31.11607,35.84325																																									
#per1073														31.04605,34.85161							33.18667,35.61917																																									
#per1074														31.78981,35.1649																																																
#per1075												31.73288,37.50607		32.47749,35.41644																																																
#per1076																																																														
#per1077																																																														
#per1078																																																														
#per1079																																																														
#per1080																																																														
#per1081													32.51888,39.82307	31.04605,34.85161																																																
#per1082																																																														
#per1083													32.54494,35.41135																																																	
#per1084																																																														
#per1085														31.82045,35.19405																																																
#per1086																																																														
#per1087														32.47749,35.41644																																																
#per1088													31.98525,38.81861	31.56891,37.18778																																																
#per1089													31.04605,34.85161	31.04605,34.85161																																																
#per1090													31.04605,34.85161	31.04605,34.85161																																																
#per1091																																																														
#per1092														33.18667,35.61917																																																
#per1093														31.82045,35.19405																																																
#per1094														31.76832,35.21371																																																
#per1095														31.83577,35.20862																																																
#per1096														31.86111,35.46176																																																
#per1097																																																														
#per1098																																																														
#per1099																																																														
#per1100													32.54494,35.41135																																																	
#per1101																																																														
#per1102																																																														
#per1103														31.82673,35.21506							32.48824,35.39203																																									
#per1104														33.18667,35.61917																																																
#per1105																					30.16403,33.73992																																									
#per1106																																																														
#per1107														31.82045,35.19405																																																
#per1108													32.42791,53.68805	33.18667,35.61917							32.1658,39.79827																																									
#per1109													33.18667,35.61917	33.18667,35.61917																																																
#per1110																																																														
#per1111																																																														
#per1112																																																														
#per1113																																																														
