	entity	frequency	type	place?	recheck	recheck-in
2	Santo	13	person	0		
3	Altísimo	5	person	0		
55	Bautista	4	person	0		
63	Olivos	4	person	0		
59	Beelzebú	3	person	0		
6	Fiesta	2	person	0		
13	Matat	2	person	0		
14	Melqui	2	person	0		
16	Matatías	2	person	0	#per1243	NEH
43	Cainán	2	person	0	#per198	GEN
53	Iscariote	2	person	0		
56	Magdalena	2	person	0		
61	Helo	2	person	0		
62	Zaqueo	2	person	0		
64	Rey	2	person	0		
65	Salmos	2	person	0	#wor6	0
66	Panes	2	person	0		
0	Quotations	1	person	0	#per1945	1CH
1	References	1	person	0	#per1946	1CH
4	Poderoso	1	person	0		
5	Augusto	1	person	0		
7	Tiberio	1	person	0		
8	Poncio	1	person	0		
9	Iturea	1	person	0		
10	Traconite	1	person	0		
11	Lisanias	1	person	0		
12	Abilinia	1	person	0		
15	Jana	1	person	0		
17	Amós	1	person	0	#per1497	AMO
18	Esli	1	person	0		
19	Nagai	1	person	0		
20	Maat	1	person	0		
21	Semei	1	person	0		
22	Joana	1	person	0		
23	Resa	1	person	0		
24	Neri	1	person	0		
25	Adi	1	person	0		
26	Cosam	1	person	0		
27	Elmodam	1	person	0		
28	Er	1	person	0	#per186	GEN
29	Eliezer	1	person	0	#per614	EXO
30	Jorim	1	person	0		
31	Jonán	1	person	0		
32	Melea	1	person	0		
33	Mainán	1	person	0		
34	Matata	1	person	0	#per1411	EZR
35	Natán	1	person	0	#per725	2SA
36	Booz	1	person	0	#per462	RUT
37	Naasón	1	person	0	#per601	EXO
38	Esrom	1	person	0		
39	Serug	1	person	0	#per200	GEN
40	Ragau	1	person	0		
41	Peleg	1	person	0	#per184	GEN
42	Sala	1	person	0	#per176	GEN
44	Arfaxad	1	person	0	#per177	GEN
45	Sem	1	person	0	#per144	GEN
46	Lamec	1	person	0	#per154	GEN
47	Jared	1	person	0	#per194	GEN
48	Mahalaleel	1	person	0	#per183	GEN
49	Enós	1	person	0	#per179	GEN
50	Set	1	person	0	#per169	GEN
51	Naamán	1	person	0	#per1702	2KI
52	Zelote	1	person	0		
54	Naín	1	person	0		
57	Chuza	1	person	0		
58	Susana	1	person	0		
60	Sur	1	person	0		
67	Juana	1	person	0		
68	Emaús	1	person	0		
