	Source	Target	Weight	Type	book
0	#per14	#pla154	0.0	Undirected	NAH
1	#org13	#per20	0.0	Undirected	NAH
2	#org133	#org24	2.0794415416798357	Undirected	NAH
3	#org13	#pla294	0.0	Undirected	NAH
4	#pla154	#pla294	0.0	Undirected	NAH
5	#org13	#org70	9.887510598012987	Undirected	NAH
6	#per14	#pla5	0.0	Undirected	NAH
7	#org13	#per643	9.887510598012987	Undirected	NAH
8	#per643	#pla18	0.0	Undirected	NAH
9	#org133	#pla5	0.0	Undirected	NAH
10	#per643	#pla4	0.0	Undirected	NAH
11	#per14	#pla131	0.0	Undirected	NAH
12	#org133	#pla18	0.0	Undirected	NAH
13	#per14	#pla296	0.0	Undirected	NAH
14	#org24	#per643	4.1588830833596715	Undirected	NAH
15	#org13	#pla154	0.0	Undirected	NAH
16	#org133	#pla295	0.0	Undirected	NAH
17	#per643	#pla5	0.0	Undirected	NAH
18	#org0	#org133	3.295836866004329	Undirected	NAH
19	#per643	#pla20	4.828313737302301	Undirected	NAH
20	#org0	#per14	4.1588830833596715	Undirected	NAH
21	#org100	#pla90	0.0	Undirected	NAH
22	#org133	#per643	8.83331693749932	Undirected	NAH
23	#per643	#pla84	0.0	Undirected	NAH
24	#org122	#org13	0.0	Undirected	NAH
25	#per14	#per643	11.485924189467285	Undirected	NAH
26	#per14	#pla297	0.0	Undirected	NAH
27	#org133	#per14	8.83331693749932	Undirected	NAH
28	#per643	#pla293	0.0	Undirected	NAH
29	#org70	#per4	0.0	Undirected	NAH
30	#org0	#per643	4.1588830833596715	Undirected	NAH
31	#per14	#pla18	0.0	Undirected	NAH
32	#per14	#pla156	0.0	Undirected	NAH
33	#per643	#pla131	0.0	Undirected	NAH
34	#org24	#org70	2.0794415416798357	Undirected	NAH
35	#org101	#org133	2.0794415416798357	Undirected	NAH
36	#org70	#pla20	0.0	Undirected	NAH
37	#per643	#pla90	0.0	Undirected	NAH
38	#org133	#pla90	0.0	Undirected	NAH
39	#org133	#pla296	0.0	Undirected	NAH
40	#org101	#pla41	0.0	Undirected	NAH
41	#per14	#pla41	2.0794415416798357	Undirected	NAH
42	#org70	#pla294	0.0	Undirected	NAH
43	#org18	#org19	0.0	Undirected	NAH
44	#per14	#pla84	0.0	Undirected	NAH
45	#org19	#per643	2.0794415416798357	Undirected	NAH
46	#org18	#org70	0.0	Undirected	NAH
47	#org13	#org24	2.0794415416798357	Undirected	NAH
48	#per643	#pla296	0.0	Undirected	NAH
49	#org122	#per643	0.0	Undirected	NAH
50	#org133	#pla297	0.0	Undirected	NAH
51	#per643	#pla41	2.0794415416798357	Undirected	NAH
52	#per4	#per643	0.0	Undirected	NAH
53	#org13	#pla156	0.0	Undirected	NAH
54	#org0	#org13	0.0	Undirected	NAH
55	#org19	#per14	2.0794415416798357	Undirected	NAH
56	#org13	#org65	0.0	Undirected	NAH
57	#per643	#pla294	0.0	Undirected	NAH
58	#org24	#per14	4.1588830833596715	Undirected	NAH
59	#org70	#pla154	0.0	Undirected	NAH
