	Source	Target	Type	Weight	book
0	#org0	#pla20	Undirected	3.295836866004329	ZEP
1	#per643	#pla84	Undirected	0.0	ZEP
2	#per14	#pla4	Undirected	0.0	ZEP
3	#org100	#per14	Undirected	3.295836866004329	ZEP
4	#org133	#org24	Undirected	2.0794415416798357	ZEP
5	#org101	#per14	Undirected	5.375278407684165	ZEP
6	#org133	#pla295	Undirected	0.0	ZEP
7	#org13	#per20	Undirected	0.0	ZEP
8	#per14	#pla297	Undirected	0.0	ZEP
9	#per643	#pla293	Undirected	0.0	ZEP
10	#pla161	#pla5	Undirected	0.0	ZEP
11	#org70	#per643	Undirected	9.887510598012987	ZEP
12	#org122	#org70	Undirected	0.0	ZEP
13	#per643	#pla294	Undirected	0.0	ZEP
14	#org101	#org24	Undirected	0.0	ZEP
15	#org100	#pla90	Undirected	0.0	ZEP
16	#per14	#pla296	Undirected	0.0	ZEP
17	#pla296	#pla297	Undirected	0.0	ZEP
18	#org100	#org24	Undirected	0.0	ZEP
19	#org65	#per643	Undirected	0.0	ZEP
20	#per14	#pla84	Undirected	0.0	ZEP
21	#org24	#pla90	Undirected	0.0	ZEP
22	#org24	#per14	Undirected	4.1588830833596715	ZEP
23	#org13	#pla20	Undirected	0.0	ZEP
24	#org13	#pla84	Undirected	0.0	ZEP
25	#org18	#org19	Undirected	0.0	ZEP
26	#org24	#org65	Undirected	0.0	ZEP
27	#org101	#org13	Undirected	4.1588830833596715	ZEP
28	#org0	#org13	Undirected	0.0	ZEP
29	#org13	#pla41	Undirected	0.0	ZEP
30	#org13	#org18	Undirected	0.0	ZEP
31	#org122	#per643	Undirected	0.0	ZEP
32	#per14	#pla294	Undirected	0.0	ZEP
33	#org103	#per14	Undirected	0.0	ZEP
34	#org70	#pla84	Undirected	0.0	ZEP
35	#org0	#org133	Undirected	3.295836866004329	ZEP
36	#per643	#pla18	Undirected	0.0	ZEP
37	#pla297	#pla5	Undirected	0.0	ZEP
38	#per14	#per643	Undirected	11.485924189467285	ZEP
39	#pla156	#pla294	Undirected	0.0	ZEP
40	#org0	#org70	Undirected	0.0	ZEP
41	#org0	#per643	Undirected	4.1588830833596715	ZEP
42	#per14	#pla154	Undirected	0.0	ZEP
43	#org13	#org70	Undirected	9.887510598012987	ZEP
44	#pla154	#pla294	Undirected	0.0	ZEP
45	#per643	#pla297	Undirected	0.0	ZEP
46	#org65	#org70	Undirected	0.0	ZEP
47	#org70	#pla154	Undirected	0.0	ZEP
48	#org13	#pla156	Undirected	0.0	ZEP
49	#per14	#pla156	Undirected	0.0	ZEP
50	#per643	#pla295	Undirected	0.0	ZEP
51	#org18	#per643	Undirected	0.0	ZEP
52	#org103	#per643	Undirected	0.0	ZEP
53	#org70	#pla294	Undirected	0.0	ZEP
54	#per643	#pla161	Undirected	0.0	ZEP
55	#org101	#pla4	Undirected	0.0	ZEP
56	#org65	#per14	Undirected	0.0	ZEP
57	#org133	#pla90	Undirected	0.0	ZEP
58	#org13	#pla154	Undirected	0.0	ZEP
59	#org133	#per14	Undirected	8.83331693749932	ZEP
60	#org122	#org13	Undirected	0.0	ZEP
61	#org13	#per14	Undirected	9.887510598012987	ZEP
62	#per643	#pla5	Undirected	0.0	ZEP
63	#org133	#pla5	Undirected	0.0	ZEP
64	#org133	#pla131	Undirected	0.0	ZEP
65	#per643	#pla131	Undirected	0.0	ZEP
66	#per643	#pla4	Undirected	0.0	ZEP
67	#org133	#per643	Undirected	8.83331693749932	ZEP
68	#pla20	#pla293	Undirected	0.0	ZEP
69	#org13	#pla294	Undirected	0.0	ZEP
70	#org24	#org70	Undirected	2.0794415416798357	ZEP
71	#org13	#org19	Undirected	2.0794415416798357	ZEP
72	#per14	#per4	Undirected	0.0	ZEP
73	#org103	#org70	Undirected	0.0	ZEP
74	#org70	#per4	Undirected	0.0	ZEP
75	#per4	#pla4	Undirected	0.0	ZEP
76	#org24	#pla41	Undirected	0.0	ZEP
77	#org70	#per14	Undirected	9.887510598012987	ZEP
78	#org19	#per643	Undirected	2.0794415416798357	ZEP
79	#per14	#pla20	Undirected	4.1588830833596715	ZEP
80	#org70	#pla41	Undirected	0.0	ZEP
81	#org133	#pla18	Undirected	0.0	ZEP
82	#per14	#pla5	Undirected	0.0	ZEP
83	#org70	#per20	Undirected	0.0	ZEP
84	#org19	#per14	Undirected	2.0794415416798357	ZEP
85	#org101	#per643	Undirected	5.375278407684165	ZEP
86	#pla161	#pla297	Undirected	0.0	ZEP
87	#org100	#per643	Undirected	3.295836866004329	ZEP
88	#org101	#per4	Undirected	0.0	ZEP
89	#per14	#pla41	Undirected	2.0794415416798357	ZEP
90	#org133	#pla161	Undirected	0.0	ZEP
91	#org100	#org133	Undirected	2.0794415416798357	ZEP
92	#org101	#org70	Undirected	4.1588830833596715	ZEP
93	#org13	#org65	Undirected	0.0	ZEP
94	#org133	#pla41	Undirected	0.0	ZEP
95	#per643	#pla20	Undirected	4.828313737302301	ZEP
96	#org13	#org24	Undirected	2.0794415416798357	ZEP
97	#per643	#pla41	Undirected	2.0794415416798357	ZEP
98	#org19	#org70	Undirected	2.0794415416798357	ZEP
99	#per643	#pla156	Undirected	0.0	ZEP
100	#org100	#org122	Undirected	0.0	ZEP
101	#pla161	#pla296	Undirected	0.0	ZEP
102	#org122	#per14	Undirected	0.0	ZEP
103	#per14	#pla18	Undirected	0.0	ZEP
104	#pla154	#pla156	Undirected	0.0	ZEP
105	#org13	#pla4	Undirected	0.0	ZEP
106	#per4	#per643	Undirected	0.0	ZEP
107	#per643	#pla154	Undirected	0.0	ZEP
108	#per643	#pla90	Undirected	0.0	ZEP
109	#org101	#org133	Undirected	2.0794415416798357	ZEP
110	#per20	#per643	Undirected	0.0	ZEP
111	#org70	#pla20	Undirected	0.0	ZEP
112	#org24	#per643	Undirected	4.1588830833596715	ZEP
113	#org18	#per14	Undirected	0.0	ZEP
114	#per14	#per20	Undirected	0.0	ZEP
115	#org70	#pla4	Undirected	0.0	ZEP
116	#org13	#per643	Undirected	9.887510598012987	ZEP
117	#per14	#pla131	Undirected	0.0	ZEP
118	#org101	#pla41	Undirected	0.0	ZEP
119	#per643	#pla296	Undirected	0.0	ZEP
120	#org0	#per14	Undirected	4.1588830833596715	ZEP
121	#org133	#pla297	Undirected	0.0	ZEP
122	#per14	#pla161	Undirected	0.0	ZEP
123	#org100	#org70	Undirected	0.0	ZEP
124	#org18	#org70	Undirected	0.0	ZEP
125	#per14	#pla90	Undirected	0.0	ZEP
126	#pla296	#pla5	Undirected	0.0	ZEP
127	#org103	#org13	Undirected	0.0	ZEP
128	#org133	#pla20	Undirected	3.295836866004329	ZEP
129	#per14	#pla295	Undirected	0.0	ZEP
130	#org70	#pla156	Undirected	0.0	ZEP
131	#pla131	#pla295	Undirected	0.0	ZEP
132	#org100	#org13	Undirected	0.0	ZEP
133	#org133	#pla296	Undirected	0.0	ZEP
134	#org13	#per4	Undirected	0.0	ZEP
0	#per644	#pla126	Undirected	0.0	ZEP
1	#per644	#pla15	Undirected	0.0	ZEP
2	#org0	#org14	Undirected	0.0	ZEP
3	#org0	#org19	Undirected	8.49964003216865	ZEP
4	#org64	#per644	Undirected	2.0794415416798357	ZEP
5	#per14	#pla298	Undirected	0.0	ZEP
6	#per644	#wor1	Undirected	0.0	ZEP
7	#pla126	#pla41	Undirected	0.0	ZEP
8	#org24	#org70	Undirected	0.0	ZEP
9	#per644	#pla30	Undirected	0.0	ZEP
10	#org0	#wor8	Undirected	2.0794415416798357	ZEP
11	#org64	#org70	Undirected	2.0794415416798357	ZEP
12	#per14	#wor1	Undirected	0.0	ZEP
13	#org19	#pla41	Undirected	4.1588830833596715	ZEP
14	#org70	#per14	Undirected	6.238324625039507	ZEP
15	#per644	#pla298	Undirected	0.0	ZEP
16	#org70	#pla41	Undirected	0.0	ZEP
17	#pla156	#pla41	Undirected	0.0	ZEP
18	#per644	#pla41	Undirected	6.591673732008658	ZEP
19	#org0	#pla156	Undirected	0.0	ZEP
20	#org19	#per14	Undirected	8.987196820661973	ZEP
21	#org0	#per14	Undirected	9.534161491043838	ZEP
22	#org19	#pla30	Undirected	0.0	ZEP
23	#per14	#pla30	Undirected	0.0	ZEP
24	#per14	#pla41	Undirected	6.591673732008658	ZEP
25	#org18	#pla15	Undirected	0.0	ZEP
26	#org19	#wor1	Undirected	0.0	ZEP
27	#org24	#per14	Undirected	0.0	ZEP
28	#org22	#pla41	Undirected	0.0	ZEP
29	#org0	#pla15	Undirected	0.0	ZEP
30	#org133	#per644	Undirected	0.0	ZEP
31	#per644	#pla249	Undirected	0.0	ZEP
32	#org18	#org19	Undirected	3.295836866004329	ZEP
33	#org0	#per644	Undirected	9.534161491043838	ZEP
34	#org65	#per14	Undirected	0.0	ZEP
35	#org19	#org70	Undirected	0.0	ZEP
36	#org70	#per644	Undirected	6.238324625039507	ZEP
37	#org64	#per14	Undirected	2.0794415416798357	ZEP
38	#org18	#per644	Undirected	3.295836866004329	ZEP
39	#per644	#wor8	Undirected	2.0794415416798357	ZEP
40	#org100	#per644	Undirected	0.0	ZEP
41	#per644	#pla299	Undirected	0.0	ZEP
42	#org14	#wor8	Undirected	0.0	ZEP
43	#per14	#pla299	Undirected	0.0	ZEP
44	#org22	#per644	Undirected	0.0	ZEP
45	#per644	#tim3	Undirected	0.0	ZEP
46	#per14	#wor8	Undirected	2.0794415416798357	ZEP
47	#org0	#org70	Undirected	0.0	ZEP
48	#per644	#pla156	Undirected	0.0	ZEP
49	#org18	#per14	Undirected	3.295836866004329	ZEP
50	#per14	#tim3	Undirected	0.0	ZEP
51	#org100	#per14	Undirected	0.0	ZEP
52	#org14	#per14	Undirected	0.0	ZEP
53	#per14	#pla126	Undirected	0.0	ZEP
54	#org65	#per644	Undirected	0.0	ZEP
55	#org18	#wor1	Undirected	0.0	ZEP
56	#pla126	#pla298	Undirected	0.0	ZEP
57	#org136	#per644	Undirected	0.0	ZEP
58	#pla249	#pla299	Undirected	0.0	ZEP
59	#org0	#pla30	Undirected	0.0	ZEP
60	#org22	#per14	Undirected	0.0	ZEP
61	#org100	#org70	Undirected	0.0	ZEP
62	#per14	#pla156	Undirected	0.0	ZEP
63	#org19	#pla156	Undirected	0.0	ZEP
64	#org133	#per14	Undirected	0.0	ZEP
65	#per644	#per645	Undirected	0.0	ZEP
66	#org24	#per644	Undirected	0.0	ZEP
67	#per14	#pla249	Undirected	0.0	ZEP
68	#org0	#pla41	Undirected	5.375278407684165	ZEP
69	#per14	#per644	Undirected	11.966952139692824	ZEP
70	#org19	#per644	Undirected	8.987196820661973	ZEP
71	#pla30	#pla41	Undirected	0.0	ZEP
